Name,Lead,Supporting,Notes
Jeff Bridges,"Starman (1984), Crazy Heart (2009), True Grit (2010)","The Last Picture Show (1971), Thunderbolt and Lightfoot (1974), The Contender (2000), Hell or High Water (2016)",
Jennifer Connelly,,A Beautiful Mind (2001),
Jennifer Hudson,,Dreamgirls (2006),
Jennifer Jason Leigh,,The Hateful Eight (2015),
Jennifer Lawrence,"Winter's Bone (2010), Silver Linings Playbook (2012), Joy (2015)",American Hustle (2013),
Jennifer Tilly,,Bullets over Broadway (1994),
Jeremy Irons,Reversal of Fortune (1990),,
Jeremy Renner,The Hurt Locker (2009),The Town (2010),
Jesse Eisenberg,The Social Network (2010),,
Jesse Plemons,,The Power of the Dog (2021),
Jessica Chastain,"Zero Dark Thirty (2012), The Eyes of Tammy Faye (2021)",The Help (2011),
Jessica Lange,"Frances (1982), Country (1984), Sweet Dreams (1985), Music Box (1989), Blue Sky (1994)",Tootsie (1982),
Jessica Tandy,"Driving Miss Daisy (1989), Fried Green Tomatoes (1991)",,
Jessie Buckley,,The Lost Daughter (2021),
Jim Broadbent,,Iris (2001),
Joan Allen,The Contender (2000),"Nixon (1995), The Crucible (1996)",
Joan Crawford,"Mildred Pierce (1945), Possessed (1947), Sudden Fear (1952)",,
Joan Cusack,,"Working Girl (1988), In & Out (1997)",
Joan Plowright,,Enchanted April (1992),
Joanne Woodward,"The Three Faces of Eve (1957), Rachel, Rachel (1958), Summer Wishes, Winter Dreams (1973), Mr. and Mrs. Bridge (1990)",,
Joaquin Phoenix,"Walk the Line (2005), The Master (2012), Joker (2019)",Gladiator (2000),
Jodie Foster,"The Accused (1988), The Silence of the Lambs (1991), Nell (1994)",Taxi Driver (1976),
Joe Pesci,,"Raging Bull (1980), Goodfellas (1990), The Irishman (2019)",
John C. Reilly,,Chicago (2002),
John Hawkes,,Winter's Bone (2010),
John Hurt,The Elephant Man (1980),Midnight Express (1978),
John Lithgow,,"The World According to Garp (1982), Terms of Endearment (1983)",
John Malkovich,,"Places in the Heart (1984), In the Line of Fire (1993)",
John Travolta,"Saturday Night Fever (1977), Pulp Fiction (1994)",,
John Wayne,"Sands of Iwo Jima (1949), True Grit (1969)",,
Johnny Depp,"Pirates of the Caribbean: The Curse of the Black Pearl (2003), Finding Neverland (2004), Sweeney Todd: The Demon Barber of Fleet Street (2007)",,
Jon Voight,"Midnight Cowboy (1969), Coming Home (1978), Runaway Train (1985)",Ali (2001),
Jonah Hill,,"Moneyball (2011), The Wolf of Wall Street (2013)",
Jonathan Pryce,The Two Popes (2019),,
Josh Brolin,,Milk (2008),
Jude Law,Cold Mountain (2003),The Talented Mr. Ripley (1999),
Judi Dench,"Mrs Brown (1997), Iris (2001), Mrs Henderson Presents (2005), Notes on a Scandal (2006), Philomena (2013)","Shakespeare in Love (1998), Chocolat (2000), Belfast (2021)",
Judy Davis,A Passage to India (1984),Husbands and Wives (1992),
Julia Roberts,"Pretty Woman (1990), Erin Brockovich (2000)","Steel Magnolias (1989), August: Osage County (2013)",
Julianne Moore,"The End of the Affair (1999), Far from Heaven (2002), Still Alice (2014)","Boogie Nights (1997), The Hours (2002)",
Julie Andrews,"Mary Poppins (1964), The Sound of Music (1965), Victor/Victoria (1982)",,
Julie Christie,"Darling (1965), McCabe & Mrs. Miller (1971), Afterglow (1997), Away from Her (2007)",,
Julie Walters,Educating Rita (1983),Billy Elliot (2000),
Juliette Binoche,Chocolat (2000),The English Patient (1996),
Juliette Lewis,,Cape Fear (1991),
June Squibb,,Nebraska (2013),
Justin Henry,,Kramer vs. Kramer (1979),
