Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
03/03/1995,The Mangler,"A laundry-folding machine has been possessed by an evil demon, causing it to develop homicidal tendencies. A police officer investigates incidents.",Tobe Hooper,"Robert Englund,
Ted Levine,
Daniel Matmor",Barrington Pheloung,
03/10/1995,3 Ninjas Knuckle Up,"Rocky, Colt, and Tum Tum must battle an evil wealthy toxic waste company to save a local Native American tribe and their friend Jo.",Shin Sang-ok,"Victor Wong,
Charles Napier,
Michael Treanor","Gary Stevan Scott,
Louis Febre",3 Ninjas 3
03/10/1995,Muriel's Wedding,"In Australia, outcast Muriel, obsessed with ABBA and weddings, steals money from her parents to vacation on an island where she meets Rhonda.",P.J. Hogan,"Toni Collette,
Bill Hunter,
Rachel Griffiths",Peter Best,
03/10/1995,Outbreak,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that is hosted by a white-headed capuchin monkey.,Wolfgang Petersen,"Dustin Hoffman,
Rene Russo,
Morgan Freeman",James Newton Howard,
03/17/1995,Candyman: Farewell to the Flesh,The Candyman arrives in New Orleans and sets his sights on a descendant schoolteacher whose professor father was murdered by him a year ago.,Bill Condon,"Tony Todd,
Kelly Rowan,
Timothy Carhart",Philip Glass,Candyman 2
03/24/1995,Dolores Claiborne,"In Maine, reporter Selena meets her mother, who has been arrested for an elderly woman's murder. They look back on abuse by her now dead father.",Taylor Hackford,"Kathy Bates,
Jennifer Jason Leigh,
David Strathairn",Danny Elfman,
03/24/1995,Major Payne,"A major is discharged from the Marines, so his commander finds him a job: commanding officer of a local school’s JROTC program, a bunch of ragtag losers with no hope.",Nick Castle,"Damon Wayans,
Karyn Parsons,
Michael Ironside",Craig Safan,
03/24/1995,Tall Tale,"In 1905, a boy's imagination summons Pecos Bill, Paul Bunyan, and John Henry, who help him save his family's farm from a diabolical land developer.",Jeremiah S. Chechik,"Nick Stahl,
Patrick Swayze,
Oliver Platt",Randy Edelman,
03/31/1995,Tank Girl,"In 2033, a woman riding a war tank and a shy jet mechanic fight against the tyranny of the Water & Power corporation that dominates water supply.",Rachel Talalay,"Lori Petty
Naomi Watts,
Ice-T",Graeme Revell,
03/31/1995,Tommy Boy,"After his auto-parts tycoon father dies, his overweight, underachieving son teams up with a snide accountant to save the family business.",Peter Segal,"Chris Farley,
David Spade,
Bo Derek",David Newman,
04/07/1995,A Goofy Movie,"When Max makes a big promise to a girl he has a crush on, his chances to fulfill it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father Goofy.",Kevin Lima,"Bill Farmer,
Jason Marsden,
Jim Cummings","Carter Burwell,
Don Davis",
04/07/1995,Bad Boys,Miami narcotics detectives Marcus and Mike are tasked with murder witness Julie while they figure out who thieved heroin from their precinct's vault.,Michael Bay,"Martin Lawrence,
Will Smith,
Téa Leoni",Mark Mancina,
04/12/1995,Jury Duty,Jobless loser Tommy is sequestered to be a juror in a serial killer trial. He prolongs the trial to take full advantage of the free luxury lodging and food.,John Fortenberry,"Pauly Shore,
Tia Carrere,
Stanley Tucci",David Kitay,
04/12/1995,Stuart Saves His Family,"Stuart Smalley, a disciple of the 12-step program for self-help, struggles to handle his dysfunctional family and losing his own cable television show.",Harold Ramis,"Al Franken,
Laura San Giacomo,
Vincent D'Onofrio",Marc Shaiman,
04/21/1995,The Basketball Diaries,"In New York City, teenager Jim Carroll finds his dreams of basketball stardom threatened when he becomes a heroin addict after a friend's death.",Scott Kalvert,"Leonardo DiCaprio,
Bruno Kirby,
Lorraine Bracco",Graeme Revell,
04/21/1995,While You Were Sleeping,Lonely CTA token collector Lucy is thought to be the fiancée of a commuter in a coma. She is soon loved by his family and falls for his brother Peter.,Jon Turteltaub,"Sandra Bullock,
Bill Pullman,
Peter Gallagher",Randy Edelman,
04/26/1995,Friday,Two unemployed friends smoke a dope dealer's weed and try to figure a way to get 200 dollars owed to the dealer by 10:00 p.m. that same night.,F. Gary Gray,"Ice Cube,
Chris Tucker,
Nia Long",N/A,
04/28/1995,Village of the Damned,"In Midwich, ten women are suddenly pregnant. Their children develop inhuman personalities and psychic powers. Doctor Alan plans to bomb them.",John Carpenter,"Christopher Reeve,
Kirstie Alley,
Linda Kozlowski","John Carpenter,
Dave Davies",
05/03/1995,Panther,"In 1966, Vietnam veteran Judge returns to home Oakland to police discrimination against African Americans. He joins Bobby's vigilante movement.",Mario Van Peebles,"Kadeem Hardison,
Courtney B. Vance,
Marcus Chong",Stanley Clarke,
05/05/1995,French Kiss,A woman flies to France to confront her straying fiancé but gets into trouble when the charming crook seated next to her uses her for smuggling.,Lawrence Kasdan,"Meg Ryan,
Kevin Kline,
Timothy Hutton",James Newton Howard,
05/10/1995,A Little Princess,"During World War I, sweet Sara is relegated to a life of servitude in a New York City girls' boarding school after receiving news her father was killed.",Alfonso Cuarón,"Eleanor Bron,
Liam Cunningham,
Liesel Matthews",Patrick Doyle,
05/12/1995,Crimson Tide,"On an American nuclear missile submarine, the first officer stages a mutiny to prevent his captain from launching missiles before confirming orders.",Tony Scott,"Denzel Washington,
Gene Hackman,
George Dzundza",Hans Zimmer,
05/12/1995,The Englishman who Went up a Hill but Came down a Mountain,"When an English cartographer must tell a Welsh village that their mountain is only a 984-foot hill, the offended community sets out to make it taller.",Christopher Monger,"Hugh Grant,
Tara Fitzgerald,
Colm Meaney","Stephen Endelman,
Gwalia Male Choir",
05/19/1995,Die Hard with a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,"Bruce Willis,
Jeremy Irons,
Samuel L. Jackson",Michael Kamen,Die Hard 3
05/19/1995,Forget Paris,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. Their love develops into a relationship of ups and downs.",Billy Crystal,"Billy Crystal,
Debra Winger,
Joe Mantegna",Marc Shaiman,
05/24/1995,Braveheart,"In 1297, Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward ""Longshanks"".",Mel Gibson,"Mel Gibson,
Sophie Marceau,
Patrick McGoohan",James Horner,
05/24/1995,Tales from the Hood,A funeral director tells four strange tales of horror with an African-American focus to three drug dealers he traps in his place of business.,Rusty Cundieff,"Corbin Bernsen,
Rosalind Cash,
Rusty Cundieff",Christopher Young,
05/26/1995,Casper,"In Maine, an afterlife therapist and his daughter Kat meet a friendly young ghost when they move into a crumbling mansion to rid it of wicked spirits.",Brad Silberling,"Christina Ricci,
Bill Pullman,
Cathy Moriarty",James Horner,
05/26/1995,Johnny Mnemonic,"In 2021, a courier carrying a Beijing data package inside his head in place of child memories must deliver it before he dies or is killed by the Yakuza.",Robert Longo,"Keanu Reeves,
Dolph Lundgren,
Dina Meyer",Brad Fiedel,
06/02/1995,The Bridges of Madison County,"Two siblings learn that in 1965 Iowa, their recently deceased Italian mother had an intense four-day affair with a National Geographic photojournalist.",Clint Eastwood,"Clint Eastwood,
Meryl Streep,
Annie Corley",Lennie Niehaus,
06/02/1995,The Glass Shield,"In L.A., black rookie deputy chief J. J. and female Deborah experience tension. J. J. lies to help bad policemen frame Teddy for a white wife's murder.",Charles Burnett,"Michael Boatman,
Lori Petty,
Ice Cube",Stephen James Taylor,
06/09/1995,Congo,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",Frank Marshall,"Laura Linney,
Dylan Walsh,
Ernie Hudson",Jerry Goldsmith,
06/16/1995,Batman Forever,Batman battles Two-Face and the Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick Robin.,Joel Schumacher,"Val Kilmer,
Tommy Lee Jones,
Jim Carrey",Elliot Goldenthal,Batman 3
06/16/1995,Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mike Gabriel,
Eric Goldberg","Irene Bedard,
Mel Gibson,
David Ogden Stiers",Alan Menken,
06/30/1995,Apollo 13,"In 1970, an explosion hits a spacecraft, forcing NASA's flight controllers to abort a Moon landing and strategize a plan to rescue three astronauts.",Ron Howard,"Tom Hanks,
Kevin Bacon,
Bill Paxton",James Horner,
06/30/1995,Judge Dredd,"In 2139, a maniacal ex-Judge frames Dredd for murder, but with the help of a prisoner who he himself convicted, he sets out to clear his name.",Danny Cannon,"Sylvester Stallone,
Armand Assante,
Diane Lane",Alan Silvestri,
06/30/1995,Mighty Morphin Power Rangers: The Movie,"Ivan Ooze seeks vengeance for being imprisoned millennia ago. With Zordon dying and powers lost, the Rangers head to space to find mystic Dulcea.",Bryan Spicer,"Jason David Frank,
Amy Jo Johnson,
David Yost",Graeme Revell,
07/07/1995,First Knight,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. A violent warlord tries to seize power from Arthur and his Knights.",Jerry Zucker,"Sean Connery,
Richard Gere,
Julia Ormond",Jerry Goldsmith,
07/07/1995,Species,"In Los Angeles, a group of four scientists try to track down and trap Sil, a killer alien seductress, before she successfully mates with a human man.",Roger Donaldson,"Natasha Henstridge
Ben Kingsley,
Michael Madsen",Christopher Young,
07/14/1995,Nine Months,"After scared child psychologist Samuel learns his ballet teacher girlfriend Rebecca is pregnant, his fears mount until he decides to take responsibility.",Chris Columbus,"Hugh Grant,
Julianne Moore,
Tom Arnold",Hans Zimmer,
07/14/1995,The Indian in the Cupboard,9-year-old Omri receives a gift cupboard that can bring toys to life. He befriends a toy 18th-century Iroquois man Little Bear and a cowboy from 1879.,Frank Oz,"Hal Scardino,
Litefoot,
David Keith",Randy Edelman,
07/14/1995,Under Siege 2: Dark Territory,Casey hops on a Denver to Los Angeles train to visit a grave with his niece. Terrorists board the train to use it to hijack a satellite particle weapon.,Geoff Murphy,"Steven Seagal,
Eric Bogosian,
Katherine Heigl",Basil Poledouris,
07/19/1995,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,"Alicia Silverstone,
Paul Rudd,
Stacey Dash",David Kitay,
07/19/1995,Free Willy 2: The Adventure Home,Teenager Jesse becomes reunited with Willy two years after his freedom. He works to rescue Willy and siblings Luna and Littlespot from an oil spill.,Dwight Little,"Jason James Richter,
Francis Capra,
Mary Kate Schellhardt",Basil Poledouris,
07/28/1995,Operation Dumbo Drop,"In 1968 during the Vietnam War, a Green Beret captain and his unit work to deliver a replacement elephant to the village Dak Nhe to keep its loyalty.",Simon Wincer,"Danny Glover,
Ray Liotta,
Denis Leary",David Newman,
07/28/1995,The Net,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",Irwin Winkler,"Sandra Bullock,
Jeremy Northam,
Dennis Miller",Mark Isham,
07/28/1995,Waterworld,"In a future Earth is almost entirely submerged, a mutated mariner fights outlaw smokers and helps a woman and a young girl try to find dry land.",Kevin Reynolds,"Kevin Costner,
Dennis Hopper,
Jeanne Tripplehorn",James Newton Howard,
08/04/1995,Babe,"A little pig raised by sheepdogs learns to herd sheep with a little help from a duck, a Border Collie, and Farmer Hoggett.",Chris Noonan,"Christine Cavanaugh,
James Cromwell,
Magda Szubanski",Nigel Westlake,
08/04/1995,Something to Talk About,"After Grace catches her husband having an affair, she takes her daughter and heads to her parents' horse farm. They advise her to forgive and forget.",Lasse Hallström,"Julia Roberts,
Dennis Quaid,
Robert Duvall","Hans Zimmer,
Graham Preskett",
08/04/1995,Virtuosity,"When a virtual reality simulation created using the personalities of multiple serial killers escapes into the real world, an ex-cop is tasked with finding it.",Brett Leonard,"Denzel Washington,
Russell Crowe,
Kelly Lynch",Christopher Young,
08/11/1995,A Walk in the Clouds,"In 1945 Sacramento, after World War II, married soldier Paul pretends to be the pregnant Victoria's husband to save her from her mad father's honor.",Alfonso Arau,"Keanu Reeves,
Aitana Sánchez-Gijón,
Giancarlo Giannini",Maurice Jarre,
08/11/1995,Dangerous Minds,A former Marine and new teacher tries to connect with her low-income high school students. She pushes them to learn poetry and cares for them.,John N. Smith,"Michelle Pfeiffer,
George Dzundza,
Courtney B. Vance",Wendy & Lisa,
08/16/1995,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a random police lineup.",Bryan Singer,"Kevin Spacey,
Stephen Baldwin,
Gabriel Byrne",John Ottman,
08/18/1995,Mortal Kombat,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,Paul W. S. Anderson,"Linden Ashby,
Cary-Hiroyuki Tagawa,
Robin Shou",George S. Clinton,
08/25/1995,Desperado,Gunslinger El Mariachi returns to a small Mexican border town after many years. He gets entangled with the local drug kingpin Bucho and his gang.,Robert Rodriguez,"Antonio Banderas,
Joaquim de Almeida,
Salma Hayek",Los Lobos,Mexico 2
09/01/1995,The Prophecy,LAPD detective Thomas and elementary school teacher Katherine learn of a war between groups of angels. Lucifer reveals Heaven could devolve.,Gregory Widen,"Christopher Walken,
Elias Koteas,
Virginia Madsen",David C. Williams,
09/08/1995,National Lampoon's Senior Trip,"To embarrass his rival, a senator uses nitwit Ohio teenagers like stoner Dags and intelligent Lisa by inviting them to a presidential education meeting.",Kelly Makin,"Jeremy Renner,
Matt Frewer,
Valerie Mahaffey",Steve Bartek,
09/08/1995,"To Wong Foo, Thanks for Everything! Julie Newmar","New York drag queens Noxima, Vida, and Chi-Chi travel to a pageant in Hollywood. When their car breaks down, they are stuck in small Snydersville.",Beeban Kidron,"Wesley Snipes,
Patrick Swayze,
John Leguizamo",Rachel Portman,
09/13/1995,Clockers,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",Spike Lee,"Harvey Keitel,
John Turturro,
Delroy Lindo",Terence Blanchard,
09/15/1995,Hackers,18-year-old Dade and his hacker friends discover a plot to unleash a defrauding worm. They look for evidence while pursued by the Secret Service.,Iain Softley,"Jonny Lee Miller,
Angelina Jolie,
Fisher Stevens",Simon Boswell,
09/22/1995,Empire Records,"In Delaware, record store employees try to stop the store from being sold to a national chain and learn about each other over one exceptional day.",Allan Moyle,"Anthony LaPaglia,
Maxwell Caulfield,
Debi Mazar",N/A,
09/22/1995,Seven,"Two detectives, a rookie with a pregnant wife and a retiring veteran, hunt a serial killer who uses the seven deadly sins to inspire his odious murders.",David Fincher,"Brad Pitt,
Morgan Freeman,
Gwyneth Paltrow",Howard Shore,
09/22/1995,Showgirls,Young drifter Nomi goes to Las Vegas to become a dancer and sets about pushing her way to climb from stripping to dancing in a casino's chorus line.,Paul Verhoeven,"Elizabeth Berkley,
Kyle MacLachlan,
Gina Gershon",David A. Stewart,
09/22/1995,The Return of the Texas Chainsaw Massacre,"In Texas, four teenagers hit a car on prom night. They wander into a farmhouse that is the home to Leatherface and his depraved family of cannibals.",Kim Henkel,"Renée Zellweger,
Matthew McConaughey,
Robert Jacks","Wayne Bell,
Robert Jacks",Texas Chainsaw Massacre 4
09/29/1995,Devil in a Blue Dress,"In 1940s Los Angeles, an unemployed black World War II veteran takes a job to investigate the disappearance of a missing white woman.",Carl Franklin,"Denzel Washington,
Tom Sizemore,
Jennifer Beals",Elmer Bernstein,
09/29/1995,Halloween: The Curse of Michael Myers,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",Joe Chappelle,"Donald Pleasence,
Paul Rudd,
Marianne Hagan",Alan Howarth,Halloween 6
09/29/1995,The Big Green,"A teacher on exchange from England is placed in an underachieving Texan school. She coaches the children in soccer, building their self-esteem.",Holly Goldberg Sloan,"Steve Guttenberg,
Olivia d'Abo,
Jay O. Sanders",Randy Edelman,
10/06/1995,Assassins,A paid assassin haunted by killing his own mentor hopes to retire. He spares a computer hacker with a disk while competing with a skilled rival hitman.,Richard Donner,"Sylvester Stallone,
Antonio Banderas,
Julianne Moore",Mark Mancina,
10/06/1995,Dead Presidents,"As he returns from the Vietnam War to his home in the Bronx, Anthony struggles to support himself and his family, eventually turning to a life of crime.","Albert Hughes,
Allen Hughes","Larenz Tate,
Keith David,
Chris Tucker",Danny Elfman,
10/06/1995,To Die For,Cable weather reporter Suzanne manipulates the teen subjects of her documentary into killing her husband. She enjoys some new media attention.,Gus Van Sant,"Nicole Kidman,
Joaquin Phoenix,
Matt Dillon",Danny Elfman,
10/13/1995,Strange Days,"In 1999, an ex-cop finds a disc that contains the memories of a murderer killing a prostitute. He is pulled in a whirl of blackmail, murder, and rape.",Kathryn Bigelow,"Ralph Fiennes,
Angela Bassett,
Juliette Lewis",Graeme Revell,
10/20/1995,Get Shorty,Miami gangster and loan shark Chili Palmer gets involved in feature film production when he heads to L.A. to collect a casino debt from a film director.,Barry Sonnenfeld,"John Travolta,
Gene Hackman,
Rene Russo",John Lurie,
10/20/1995,Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall. They meet up with troublemakers and hatch a plan to wreak havoc.",Kevin Smith,"Shannen Doherty,
Jeremy London,
Jason Lee",Ira Newborn,
10/20/1995,Now and Then,"In 1970, Samantha believes in seances, Roberta learns how her mother died, Chrissy is naive, and Teeny wants good looks. They enjoy a treehouse.",Lesli Linka Glatter,"Christina Ricci,
Thora Birch,
Gaby Hoffmann",Cliff Eidelman,
10/27/1995,Copycat,"In San Francisco, an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies known past killers.",Jon Amiel,"Sigourney Weaver,
Holly Hunter,
Dermot Mulroney",Christopher Young,
10/27/1995,Leaving Las Vegas,An alcoholic Hollywood screenwriter goes to Las Vegas to drink himself to death. He develops an uneasy supportive friendship with prostitute Sera.,Mike Figgis,"Nicolas Cage,
Elisabeth Shue,
Julian Sands","Anthony Marinelli,
Mike Figgis",
10/27/1995,Mighty Aphrodite,"When he discovers his adopted son is a genius, a Manhattan sportswriter married to a curator seeks his birth mother: a ditzy porn star and prostitute.",Woody Allen,"Woody Allen,
Mira Sorvino,
Helena Bonham Carter",Dick Hyman,
10/27/1995,Vampire in Brooklyn,"A Caribbean vampire searches for a half-human half-vampire as a wife. That woman, Rita, is the detective investigating his killings in Brooklyn.",Wes Craven,"Eddie Murphy,
Angela Bassett,
Allen Payne",J. Peter Robinson,
11/03/1995,Fair Game,"In Miami, a police officer protects a law attorney from a renegade KGB team out to terminate her after she attempts to seize a 157-foot freighter.",Andrew Sipes,"William Baldwin,
Cindy Crawford,
Steven Berkoff",Mark Mancina,
11/03/1995,Home for the Holidays,"After losing her job and learning her daughter Kitt will spend Thanksgiving with her boyfriend, single Claudia spends a break with her extended family.",Jodie Foster,"Holly Hunter,
Robert Downey Jr.,
Anne Bancroft",Mark Isham,
11/10/1995,Ace Ventura: When Nature Calls,"A pet detective returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,"Jim Carrey,
Ian McNeice,
Simon Callow",Robert Folk,Ace Ventura 2
11/17/1995,GoldenEye,Bond battles thought-dead MI6 agent Trevelyan and assassin Xenia Onatopp as their Janus crime syndicate takes a Soviet satellite weapon system.,Martin Campbell,"Pierce Brosnan,
Sean Bean,
Izabella Scorupco",Éric Serra,James Bond 17
11/17/1995,It Takes Two,"Little orphan Amanda meets identical Alyssa. The two form a plan to get Alyssa's wealthy father in love with Amanda's social worker, not his fiancée.",Andy Tennant,"Kirstie Alley,
Steve Guttenberg,
Mary-Kate Olsen","Sherman Foote,
Ray Foote",
11/17/1995,The American President,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",Rob Reiner,"Michael Douglas,
Annette Bening,
Martin Sheen",Marc Shaiman,
11/22/1995,Casino,"In 1973, sports handicapper Ace Rothstein is sent by the Chicago mafia to oversee the operations at the Tangiers in Las Vegas. He marries a hustler.",Martin Scorsese,"Robert De Niro,
Sharon Stone,
Joe Pesci",N/A,
11/22/1995,Money Train,"In New York, John and Charlie are foster brothers and transit police. When Charlie needs to pay off gambling debts, he schemes to rob subway fares.",Joseph Ruben,"Wesley Snipes,
Woody Harrelson,
Jennifer Lopez",Mark Mancina,
11/22/1995,Nick of Time,"In Los Angeles, a widowed accountant is forced by two strangers in suits to murder a governor in exchange for his kidnapped daughter's freedom.",John Badham,"Johnny Depp,
Christopher Walken,
Charles S. Dutton",Arthur B. Rubinstein,
11/22/1995,Toy Story,A cowboy doll is jealous when a spaceman figure supplants him as top toy in a boy's room. The two must unite after they are trapped with a neighbor.,John Lasseter,"Tom Hanks,
Tim Allen,
Don Rickles",Randy Newman,
12/08/1995,Father of the Bride Part II,"Four years after his daughter's marriage, George deals with not only the pregnancy of his daughter but also the middle-aged pregnancy of his wife.",Charles Shyer,"Steve Martin,
Diane Keaton,
Martin Short",Alan Silvestri,
12/13/1995,Sense and Sensibility,"When responsible Elinor's father dies, her family's finances are crippled. She and her impulsive sister seek love as their lives constantly change.",Ang Lee,"Emma Thompson,
Alan Rickman,
Kate Winslet",Patrick Doyle,
12/15/1995,Heat,A master thief plans one last big heist. An LAPD detective tries to hunt him down as he deals with his unfaithful wife and mentally sick stepdaughter.,Michael Mann,"Al Pacino,
Robert De Niro,
Tom Sizemore",Elliot Goldenthal,
12/15/1995,Jumanji,"Siblings Judy and Peter play a magic board game that releases Alan, trapped since 1969. They find Sarah and work to survive jungle-related dangers.",Joe Johnston,"Robin Williams,
Kirsten Dunst,
David Alan Grier",James Horner,
12/15/1995,Sabrina,"A chauffeur's daughter harbors feelings for a rich playboy. Athough she soon gets his attention, his older, work-minded brother tries to break them up.",Sydney Pollack,"Harrison Ford,
Julia Ormond,
Greg Kinnear",John Williams,
12/22/1995,Balto,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"Kevin Bacon,
Bridget Fonda,
Phil Collins",James Horner,
12/22/1995,Cutthroat Island,"In 1668, a female pirate and her Latin-speaking thief companion race against their rivals to find a hidden island that contains a large gold treasure.",Renny Harlin,"Geena Davis,
Matthew Modine,
Frank Langella",John Debney,
12/22/1995,Dracula: Dead and Loving It,Dapper Count Dracula relocates from his castle to London with his slavish solicitor assistant Renfield in search of blood. He finds it in Mina and Lucy.,Mel Brooks,"Leslie Nielsen,
Peter MacNicol,
Steven Weber",Hummie Mann,
12/22/1995,Nixon,"In 1968, Richard Nixon seizes the chance to take the Presidency with backlash against the antiwar movement. His paranoia grows, bringing scandal.",Oliver Stone,"Anthony Hopkins,
Joan Allen,
Powers Boothe",John Williams,
12/22/1995,Sudden Death,"In Pittsburgh, a former fireman with two children takes on terrorists holding the Vice President and others for hostage during the Stanley Cup Finals.",Peter Hyams,"Jean-Claude Van Damme,
Powers Boothe,
Raymond J. Barry",John Debney,
12/22/1995,Waiting to Exhale,"Cheated on, mistreated and stepped on, four women hold their breath, waiting for good men to break their strings of less-than-stellar lovers.",Forest Whitaker,"Whitney Houston,
Angela Bassett,
Loretta Devine","Kenneth ""Babyface"" Edmonds",
12/25/1995,Four Rooms,"On New Year's Eve in Los Angeles, on Ted the bellhop’s first night on the job, the hotel’s unusual guests place him in four shocking predicaments.","Allison Anders,
Alexandre Rockwell,
Robert Rodriguez,
Quentin Tarantino","Tim Roth,
Antonio Banderas,
Jennifer Beals",Combustible Edison,
12/29/1995,12 Monkeys,"In 2035, a prisoner is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"Bruce Willis,
Madeleine Stowe,
Brad Pitt",Paul Buckmaster,
12/29/1995,Dead Man Walking,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Susan Sarandon,
Sean Penn,
Robert Prosky",David Robbins,
12/29/1995,Mr. Holland's Opus,A dedicated high school music teacher attempts to compose his own music while struggling to juggle his job and life with his wife and deaf son. ,Stephen Herek,"Richard Dreyfuss,
Glenne Headly,
Jay Thomas",Michael Kamen,
01/12/1996,Bio-Dome,Two moronic best friends get themselves sealed inside a closed ecological system along with five environmental scientists isolated for one full year.,Jason Bloom,"Pauly Shore,
Stephen Baldwin,
William Atherton",Andrew Gross,
01/12/1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray moves to South Central L.A. to live with his same-aged father and grandmother, he falls in with his gang-banging cousin Loc Dog.",Paris Barclay,"Shawn Wayans,
Marlon Wayans,
Tracey Cherelle Jones",John Barnes,
01/12/1996,Eye for an Eye,"When a trial fails to keep behind bars the delivery man who raped and murdered her 17-year-old daughter, a woman seeks her own form of justice.",John Schlesinger,"Sally Field,
Kiefer Sutherland,
Ed Harris",James Newton Howard,
01/12/1996,Two If by Sea,"Frank and Roz steal a Matisse painting as part of a contract. They escape the police and expect to sell in four days on an island, but the FBI comes.",Bill Bennett,"Sandra Bullock,
Denis Leary,
Stephen Dillane","Nick Glennie-Smith,
Paddy Moloney",
01/19/1996,From Dusk till Dawn,Two bank robbers and their three family hostages unknowingly seek temporary refuge in a Mexican strip club bar populated by bloodthirsty vampires.,Robert Rodriguez,"Harvey Keitel,
George Clooney,
Quentin Tarantino",Graeme Revell,
02/02/1996,Black Sheep,A gubernatorial candidate hires a wormy assistant whose only job is to ensure his well-meaning but incompetent brother does not ruin the election.,Penelope Spheeris,"Chris Farley,
David Spade,
Tim Matheson",William Ross,
02/02/1996,The Juror,"A single mother is picked for jury duty for a mafia trial, but she is intimidated by an obsessive mob enforcer to convince the others to vote not guilty.",Brian Gibson,"Demi Moore,
Alec Baldwin,
James Gandolfini",James Newton Howard,
02/02/1996,The NeverEnding Story III: Escape from Fantasia,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,Peter MacDonald,"Jason James Richter,
Melody Kay,
Jack Black",Peter Wolf,
02/02/1996,White Squall,"Teenagers Chuck, Frank, Gil, and Dean learn in a school training voyage aboard while on Skipper's ship. A freak storm leads to four people drowning.",Ridley Scott,"Jeff Bridges,
Caroline Goodall,
John Savage",Jeff Rona,
02/09/1996,Beautiful Girls,A jazz pianist at a crossroads in his life returns to Massachusetts to his three friends with their own life and love problems for a high school reunion.,Ted Demme,"Timothy Hutton,
Matt Dillon,
Michael Rapaport",David A. Stewart,
02/09/1996,Broken Arrow,Two Air Force pilots are flying with two nuclear warheads when one betrays the other. A female park ranger and the survivor must stop terrorists.,John Woo,"John Travolta,
Christian Slater,
Samantha Mathis",Hans Zimmer,
02/16/1996,City Hall,"In New York, a detective and a mobster kill each other, but a stray bullet kills a boy. A loyal deputy mayor and a legal aid decide to dig for answers.",Harold Becker,"Al Pacino,
John Cusack,
Bridget Fonda",Jerry Goldsmith,
02/16/1996,Happy Gilmore,Rejected hockey player Happy plays golf to earn money for his grandmother's house. He is taught by Chubbs as arrogant Shooter detests his antics.,Dennis Dugan,"Adam Sandler,
Christopher McDonald,
Julie Bowen",Mark Mothersbaugh,
02/16/1996,Muppet Treasure Island,"After orphan Jim, Gonzo, and Rizzo escape from pirates, they hire a crew to find a hidden treasure revealed by ex-pirate Billy Bones before he died. ",Brian Henson,"Tim Curry,
Kevin Bishop,
Jennifer Saunders",Hans Zimmer,
02/21/1996,Bottle Rocket,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. ",Wes Anderson,"Owen Wilson,
Luke Wilson,
Robert Musgrave",Mark Mothersbaugh,
02/23/1996,Mary Reilly,Maid Mary falls for Dr. Jekyll yet is repulsed and fascinated by his mean assistant Mr. Hyde. She learns Jekyll uses a serum that makes him Hyde.,Stephen Frears,"Julia Roberts,
John Malkovich,
George Cole",George Fenton,
02/23/1996,Rumble in the Bronx,A Hong Kong man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,"Jackie Chan,
Anita Mui,
Françoise Yip","J. Peter Robinson,
Nathan Wong",
