Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
12/13/1991,Bugsy,Mobster Benjamin Siegel leaves New York for Hollywood. He courts an actress despite having a wife and children. He takes racketeering to the Nevada desert and helps develop Las Vegas.,Barry Levinson,"Warren Beatty,
Annette Bening,
Harvey Keitel",Ennio Morricone,
12/13/1991,The Last Boy Scout,"A private detective's protected female witness is murdered, so he and her boyfriend investigate a corrupt politician and an evil football team owner.",Tony Scott,"Bruce Willis,
Damon Wayans,
Chelsea Field",Michael Kamen,
12/20/1991,Father of the Bride,"With his oldest daughter's wedding to an upper-class man approaching, a middle-class father finds himself reluctant to let go.",Charles Shyer,"Steve Martin,
Diane Keaton,
Kimberly Williams",Alan Silvestri,
12/20/1991,JFK,New Orleans District Attorney Jim Garrison files charges against a businessman for his supposed participation in a plan to assassinate Kennedy.,Oliver Stone,"Kevin Costner,
Kevin Bacon,
Tommy Lee Jones",John Williams,
12/20/1991,Rhapsody in August,"In Nagasaki, an elderly woman takes care of her four grandchildren for their summer vacation, and they learn about an atomic bomb that fell in 1945.",Akira Kurosawa,"Sachiko Murase,
Hidetaka Yoshioka,
Richard Gere",Shin’ichirō Ikebe,
12/25/1991,Grand Canyon,"In L.A., lawyer Mack is nearly mugged before tow truck driver Simon helps him. Mack's wife plans to adopt. His friend stops producing violent movies.",Lawrence Kasdan,"Danny Glover,
Kevin Kline,
Steve Martin",James Newton Howard,
12/25/1991,The Prince of Tides,A troubled teacher goes to New York to talk to his suicidal sister's psychiatrist about their dark family history and falls in love with her in the process.,Barbra Streisand,"Barbra Streisand,
Nick Nolte,
Blythe Danner",James Newton Howard,
12/27/1991,Fried Green Tomatoes,A housewife unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,"Kathy Bates,
Jessica Tandy,
Mary Stuart Masterson",Thomas Newman,
01/10/1992,The Hand That Rocks the Cradle,"In Seattle, after Claire accuses her obstetrician of molestation, he kills himself. His own wife loses a child, so she seeks vengeance on Claire's family.",Curtis Hanson,"Annabella Sciorra,
Rebecca De Mornay,
Matt McCoy",Graeme Revell,
01/17/1992,Freejack,"In 1991, bounty hunters from the future take a doomed racecar driver to 2009 New York, where his mind will be replaced with that of a billionaire.",Geoff Murphy,"Emilio Estevez,
Mick Jagger,
Rene Russo",Trevor Jones,
01/17/1992,Juice,"In Harlem, teenagers Bishop, Raheem, Steel, and Q work to gain respect by robbing a convenience store. One becomes addicted to the thrill of killing.",Ernest R. Dickerson,"Omar Epps,
Jermaine Hopkins,
Khalil Kain",Hank Shocklee and The Bomb Squad,
02/07/1992,Medicine Man,An eccentric scientist working for a drug company is close to a cure for cancer in the Amazon jungle. A biochemist is sent to help him. They fall in love.,John McTiernan,"Sean Connery,
Lorraine Bracco,
José Wilker",Jerry Goldsmith,
02/14/1992,Wayne's World,A sleazy TV executive offers Wayne and Garth a fat contract for their late-night public access show at his network. Their road to success is gnarly.,Penelope Spheeris,"Mike Myers,
Dana Carvey,
Tia Carrere",J. Peter Robinson,
02/21/1992,Radio Flyer,"In 1969, 11-year-old Mike moves with his mother to town Novato, where she marries the King. He abuses Mike's brother, who wants to fly to safety.",Richard Donner,"Elijah Wood,
Joseph Mazzello,
Lorraine Bracco",Hans Zimmer,
02/21/1992,This Is My Life,"Single mom Dottie Ingels sells cosmetics, but she dreams of being a comedian. She neglects her two daughters in the midst of her newfound fame.",Nora Ephron,"Julie Kavner,
Samantha Mathis,
Gaby Hoffman",Carly Simon,
02/28/1992,Memoirs of an Invisible Man,"After a science accident, a stock analyst becomes invisible, is hunted by a shady CIA agent, talks to a documentary producer, and records memoirs.",John Carpenter,"Chevy Chase,
Daryl Hannah,
Sam Neill",Shirley Walker,
03/06/1992,The Lawnmower Man,A moral scientist experiments on an intellectually disabled gardener to give him greater intelligence but enhances his aggression and need to evolve.,Brett Leonard,"Jeff Fahey,
Pierce Brosnan,
Jenny Wright",Dan Wyman,
03/13/1992,Howards End,"Margaret and her sister become involved with two couples, a wealthy industrialist and his wife, and a working-class man and his mistress.",James Ivory,"Anthony Hopkins,
Emma Thompson,
Vanessa Redgrave","Richard Robbins,
Percy Grainger",
03/13/1992,My Cousin Vinny,"Two New Yorkers back from college accused of murder in rural Alabama call in a cousin, a loudmouth lawyer with no trial experience.",Jonathan Lynn,"Joe Pesci,
Ralph Macchio,
Marisa Tomei",Randy Edelman,
03/20/1992,Basic Instinct,A San Francisco police detective investigates a wealthy rock star's brutal murder that might involve a manipulative and seductive novelist.,Paul Verhoeven,"Michael Douglas,
Sharon Stone,
George Dzundza",Jerry Goldsmith,
03/27/1992,Ladybugs,"To earn a promotion from his boss, Chester starts coaching his company's all-girls soccer team with the help of his secret weapon: his fiancée's son.",Sidney J. Furie,"Rodney Dangerfield,
Jackée Harry,
Jonathan Brandis",Richard Gibbs,
03/27/1992,The Cutting Edge,Spoiled top figure skater Kate and injured hockey player Doug work to win Olympic gold as a team. Romance blooms. They argue before their finale.,Paul Michael Glaser,"D. B. Sweeney,
Moira Kelly,
Roy Dotrice",Patrick Williams,
03/27/1992,White Men Can't Jump,Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.,Ron Shelton,"Wesley Snipes,
Woody Harrelson,
Rosie Perez",Bennie Wallace,
04/03/1992,Beethoven,A slobbering St. Bernard becomes the center of attention for the Newton family but must contend with a dognapping veterinarian and henchmen.,Brian Levant,"Charles Grodin,
Bonnie Hunt,
Dean Jones",Randy Edelman,
04/03/1992,Rock-a-Doodle,"To defeat the Grand Duke of Owls, a young boy transformed into a cat teams up with barnyard animals to find a rooster who can raise the sun.",Don Bluth,"Glen Campbell,
Eddie Deezen,
Sandy Duncan",Robert Folk,
04/10/1992,FernGully: The Last Rainforest,"Fairy Crysta, Batty Koda, and lumberjack Zak aim to save her rainforest home threatened by logging and a polluting force of destruction called Hexxus.",Bill Kroyer,"Samantha Mathis,
Jonathan Ward,
Tim Curry",Alan Silvestri,
04/10/1992,Newsies,"In 1899, when young New York newspaper sellers are exploited by their bosses, they set out to enact change but are met by big business.",Kenny Ortega,"Christian Bale,
Gabriel Damon,
Luke Edwards","Alan Menken,
J. A. C. Redford",
04/10/1992,Sleepwalkers,"The last two survivors of a vampiric shapeshifting species, a mother and son, feed on the life force of human female virgins, targeting an Indiana girl.",Mick Garris,"Brian Krause,
Mädchen Amick,
Alice Krige",Nicholas Pike,
04/10/1992,The Player,"Hollywood film studio executive Griffin Mill drowns a screenwriter he believes sent him death threat postcards. He falls for the writer's girlfriend, June.",Robert Altman,"Tim Robbins,
Greta Scacchi,
Fred Ward",Thomas Newman,
04/15/1992,Deep Cover,"In L.A., a uniformed cop is recruited by a drug enforcement agent to infiltrate a drug smuggling network. He works with an attorney and trafficker.",Bill Duke,"Laurence Fishburne,
Jeff Goldblum,
Charles Martin Smith",Michel Colombier,
05/08/1992,CrissCross,"In 1969 Key West, divorced mother Tracy raises her 12-year-old son Chris and resorts to stripping for money. His father lives in a remote commune.",Chris Menges,"David Arnott,
Goldie Hawn,
Arliss Howard",Trevor Jones,
