Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
10/17/1974,Benji,"A friendly stray dog adored by townspeople saves two children, who want to keep him, after they are kidnapped by four robbers as a part of a ransom.",Joe Camp,"Higgins,
Patsy Garrett,
Peter Breck",Euel Box,
10/17/1974,Dodes'ka-den,"Tokyo slum dwellers like a boy who believes he is a trolley conductor, a homeless father and son, and a woman abused by her uncle carry on.",Akira Kurosawa,"Yoshitaka Zushi,
Kin Sugai,
Toshiyuki Tonomura",Tōru Takemitsu,
10/18/1974,It's Alive,"The Davies expect a baby, which turns out to be a monster with a nasty habit of killing when it's scared. And it's easily scared.",Larry Cohen,"John P. Ryan,
Sharon Farrell,
James Dixon",Bernard Herrmann,
10/31/1974,Phantom of the Paradise,Deformed composer Winslow sells his soul for the woman he loves so she will perform his music. A producer betrays him and opens his concert hall.,Brian De Palma,"Paul Williams,
William Finley,
Jessica Harper",Paul Williams,
11/01/1974,The Street Fighter,A mercenary karate master protects the daughter of a deceased oil tycoon from mobsters after her inheritance. He deals with siblings that owe him.,Shigehiro Ozawa,"Sonny Chiba,
Yutaka Nakajima,
Goichi Yamada",Toshiaki Tsushima,
11/10/1974,Lenny,"In the 1960s, comic Lenny Bruce's unrestrained style and social commentary is often deemed too obscene for the public. He nevertheless persists.",Bob Fosse,"Dustin Hoffman,
Valerie Perrine,
Jan Miner",Ralph Burns,
11/15/1974,Earthquake,A man estranged from his jealously possessive wife has an affair with the widow of a co-worker. They all witness a shaking that devastates L.A.,Mark Robson,"Charlton Heston,
Ava Gardner,
George Kennedy",John Williams,
11/24/1974,Murder on the Orient Express,"In 1935, when his train is stopped, Poirot is called on to solve a murder that occurred in his car the night before. He interrogates all the passengers.",Sidney Lumet,"Albert Finney,
Lauren Bacall,
Martin Balsam",Richard Rodney Bennett,
12/09/1974,Alice Doesn't Live Here Anymore,"Hoping to work as a singer, widow Alice takes her preteen son Tommy to Arizona, where she begins relationships with abusive Ben and tough David.",Martin Scorsese,"Ellen Burstyn,
Kris Kristofferson,
Alfred Lutter",N/A,
12/12/1974,The Godfather Part II,"In 1917, after his family is killed in Sicily, Vito sets up a business in New York. In 1958, son Michael expands it into Las Vegas, Hollywood, and Cuba.",Francis Ford Coppola,"Al Pacino,
Robert Duvall,
Diane Keaton",Nino Rota,
12/14/1974,The Towering Inferno,"At the opening party of a colossal, but poorly constructed, office building, a fire breaks out that threatens to destroy the tower and everyone in it.",John Guillermin,"Steve McQueen,
Paul Newman,
William Holden",John Williams,
12/15/1974,Young Frankenstein,"A lecturer inherits his grandfather's Transylvania estate. He is able to reanimate a dead body with the help of servants Igor, Inga, and Frau Blücher.",Mel Brooks,"Gene Wilder,
Peter Boyle,
Marty Feldman",John Morris,
12/20/1974,Black Christmas,A sorority house is terrorized by a stranger hiding in an attic who makes frightening phone calls and kills many of the sisters during a Christmas break.,Bob Clark,"Olivia Hussey,
Keir Dullea,
Margot Kidder",Carl Zittrer,
12/20/1974,The Man with the Golden Gun,"Expensive assassin Scaramanga targets Bond, who attempts to recover the Solex, sensitive solar cell technology being sold to the highest bidder.",Guy Hamilton,"Roger Moore,
Christopher Lee,
Britt Ekland",John Barry,James Bond 9
01/16/1975,Dark Star,"In space for 20 years destroying unstable planets, a crew of bumbling astronauts battles their alien mascot and the thinking Thermostellar Bomb #20.",John Carpenter,"Dan O'Bannon,
Brian Narelle,
Cal Kuniholm",John Carpenter,
02/06/1975,The Strongest Man in the World,Dexter Riley discovers a chemical combined with a cereal that grants temporary strength. The dean of Medfield takes the recipe to a cereal company.,Vincent McEveety,"Kurt Russell,
Joe Flynn,
Eve Arden",Robert F. Brunner,The Computer Wore Tennis Shoes 3
02/11/1975,Shampoo,"On Election Day 1968, a hairdresser is busy cutting hair and dealing with his various girlfriends and his mistress, whose husband he meets.",Hal Ashby,"Warren Beatty,
Julie Christie,
Goldie Hawn",Paul Simon,
02/12/1975,The Stepford Wives,"Joanna comes to Stepford, Connecticut with her family, but soon discovers a sinister truth in the all too perfect behavior of the female residents.",Bryan Forbes,"Katharine Ross,
Paula Prentiss,
Peter Masterson",Michael Small,
03/12/1975,Funny Lady,"Established Broadway star Fanny Brice hits hard times entering the 1930s. She falls for showman Billy Rose, but Nicky is never far from her mind.",Herbert Ross,"Barbra Streisand,
James Caan,
Omar Sharif","Fred Ebb,
John Kander,
Peter Matz",Funny Girl 2
03/19/1975,Tommy,"An English boy left psychosomatically deaf, dumb and blind after witnessing a murder becomes a master pinball player and the figurehead of a cult.",Ken Russell,"Ann-Margret,
Oliver Reed,
Roger Daltrey",The Who,
04/09/1975,The Passenger,"Unable to find the Chad war he is asked to cover, journalist David takes the identity of Robertson, a dead arms dealer. His wife and a girl look for him.",Michelangelo Antonioni,"Jack Nicholson,
Maria Schneider,
Steven Berkoff",Ivan Vandor,
04/26/1975,Dolemite,"After he is released from jail, a pimp takes on the criminals and corrupt police officers who framed him in the first place.",D'Urville Martin,"Rudy Ray Moore,
D'Urville Martin,
Jerry Jones",Arthur G. Wright,
04/27/1975,Death Race 2000,"In a dystopian future, an automobile race requires contestants to run down innocent pedestrians to gain points tallied based on each kill's brutality.",Paul Bartel,"David Carradine,
Simone Griffeth,
Sylvester Stallone",Paul Chihara,
04/27/1975,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal search for the Holy Grail, encountering many silly obstacles.","Terry Gilliam,
Terry Jones","Graham Chapman,
John Cleese,
Terry Gilliam","Dewolfe,
Neil Innes",
05/21/1975,French Connection II,"Popeye Doyle goes to France to track down drug dealer Alain Charnier. As police watch him, he is captured and injected with heroin. He is released.",John Frankenheimer,"Gene Hackman,
Fernando Rey,
Bernard Fresson",Don Ellis,
05/21/1975,The Eiger Sanction,Art professor and ex-assassin Hemlock agrees to join an international climbing team in Switzerland on the Eiger north face to avenge an ally's death.,Clint Eastwood,"Clint Eastwood,
George Kennedy,
Vonetta McGee",John Williams,
05/21/1975,The Return of the Pink Panther,"Inspector Clouseau is put on the case when the Pink Panther diamond is stolen again, with the Phantom's trademark glove the only clue.",Blake Edwards,"Peter Sellers,
Christopher Plummer,
Catherine Schell",Henry Mancini,The Pink Panther 4
06/11/1975,Nashville,"Over some hectic days, a singer near collapse, a couple with a shaky marriage, a British journalist touring interact at a 1976 presidential convention.",Robert Altman,"Ned Beatty,
Ronee Blakley,
Keith Carradine",Richard Baskin,
06/20/1975,Jaws,"When a killer shark unleashes chaos on Amity Island, a local sheriff, a marine biologist, and an old seafarer hunt it down on a boat: the Orca.",Steven Spielberg,"Roy Scheider,
Robert Shaw,
Richard Dreyfuss",John Williams,
06/25/1975,Cooley High,"In 1964 Chicago, the lives of four black high school seniors, including an aspiring playwright and an basketball champion, take tragic turns.",Michael Schultz,"Glynn Turman,
Lawrence Hilton-Jacobs,
Cynthia Davis",Freddie Perren,
06/25/1975,Rollerball,"In a corporate-controlled future, a violent game entertains the world. Houston athlete Jonathan E. is out to defy those who want him out of the sport.",Norman Jewison,"James Caan,
John Houseman,
Maud Adams",André Previn,
09/21/1975,Dog Day Afternoon,"In 1972, three amateur bank robbers plan to hold up a bank. The supposedly simple heist becomes a bizarre nightmare as everything goes wrong.",Sidney Lumet,"Al Pacino,
John Cazale,
James Broderick",N/A,
09/24/1975,Three Days of the Condor,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out whom he can really trust in the CIA.",Sydney Pollack,"Robert Redford,
Faye Dunaway,
Cliff Robertson",Dave Grusin,
09/26/1975,The Rocky Horror Picture Show,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,Jim Sharman,"Tim Curry,
Susan Sarandon,
Barry Bostwick","Richard Hartley,
Richard O'Brien",
09/28/1975,Walking Tall Part 2,"In 1960s Tennessee, Sheriff Buford Pusser is in the hospital as his town's citizens wonder if he will seek re-election. He resumes his one-man battle.",Earl Bellamy,"Bo Svenson,
Richard Jaeckel,
Bruce Glover",Walter Scharf,
10/17/1975,Rooster Cogburn,"After drunken thugs overrun a small Indian Nation town, Eula Goodnight enlists Marshal Cogburn to hunt them down and avenge her preacher father.",Stuart Millar,"John Wayne,
Katharine Hepburn,
Richard Jordan",Laurence Rosenthal,True Grit 2
11/19/1975,One Flew Over the Cuckoo's Nest,"In 1963 Oregon, a criminal pleads insanity and is admitted to a mental institution, where he rebels against a tyrant nurse and rallies up the patients.",Miloš Forman,"Jack Nicholson,
Louise Fletcher,
William Redfield",Jack Nitzsche,
12/17/1975,The Man Who Would Be King,"In 1882, two British soldiers stationed in India travel to the isolated land of Kafiristan, where they are embraced and revered as rulers by its people.",John Huston,"Sean Connery,
Michael Caine,
Christopher Plummer",Maurice Jarre,
12/18/1975,Barry Lyndon,"In 1750s England, an Irishman is homeless after a duel and then captured by a highwayman. His fortunes change when he marries a rich widow.",Stanley Kubrick,"Ryan O'Neal,
Marisa Berenson,
Patrick Magee",N/A,
12/25/1975,Friday Foster,"At an L.A. airport, a magazine photographer witnesses the attempted murder of a black billionaire and is drawn into a political conspiracy.",Arthur Marks,"Pam Grier,
Yaphet Kotto,
Godfrey Cambridge",Buddy Baker,
01/21/1976,Seven Beauties,"During World War II, an Italian everyman deserts the army. Germans capture him and send him to a prison camp, where he compromises to survive.",Lina Wertmüller,"Giancarlo Giannini,
Fernando Rey,
Shirley Stoler","Nando de Luca,
Enzo Jannacci",
02/09/1976,Taxi Driver,"In New York, insomniac veteran and driver Travis has an urge for violent action. He tries to liberate a campaign volunteer and an underage prostitute.",Martin Scorsese,"Robert De Niro,
Jodie Foster,
Albert Brooks",Bernard Herrmann,
03/12/1976,Robin and Marian,"After Richard dies in battle, Robin and Little John return exhausted from the Crusades. Marian now serves as mother superior at a nearby convent.",Richard Lester,"Sean Connery,
Audrey Hepburn,
Robert Shaw",John Barry,
04/05/1976,Face to Face,Dr. Jenny Isaksson is a psychiatrist who married another psychiatrist. She faces a breakdown and is haunted by images and feelings from her past.,Ingmar Bergman,"Liv Ullmann,
Erland Josephson,
Gunnar Björnstrand",N/A,
04/07/1976,The Bad News Bears,"Morris Buttermaker, an aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",Michael Ritchie,"Walter Matthau,
Tatum O'Neal,
Chris Barnes",Jerry Fielding,
04/09/1976,All the President's Men,"In 1972, two Washington Post reporters uncover the details of the Watergate scandal with the help of source Deep Throat, pushing Nixon to resign.",Alan J. Pakula,"Robert Redford,
Dustin Hoffman,
Jack Warden",David Shire,
04/09/1976,Family Plot,"Two couples: one a con woman psychic and her cab driver boyfriend, the other two crafty thieves, come into conflict on a search for a missing heir.",Alfred Hitchcock,"Bruce Dern,
Barbara Harris,
William Devane",John Williams,
05/28/1976,The Man Who Fell to Earth,"An alien who lands in New Mexico must pose as a human to save his planet dying from drought, but a woman and men's greed complicate things.",Nicolas Roeg,"David Bowie,
Rip Torn,
Candy Clark","John Phillips,
Stomu Yamashta",
06/16/1976,Silent Movie,A film director and his strange friends struggle to produce the first major silent feature film in 40 years. They convince big Hollywood stars to join.,Mel Brooks,"Mel Brooks,
Marty Feldman,
Dom DeLuise",John Morris,
06/23/1976,Logan's Run,"In 2274, Logan 5, a Sandman who has captured others who have attempted to escape death at 30 years old is now faced with termination himself.",Michael Anderson,"Michael York,
Jenny Agutter,
Richard Jordan",Jerry Goldsmith,
06/23/1976,Murder by Death,Five renowned detectives and their sidekicks are invited by a criminologist to a bizarre mansion to solve a midnight murder for one million dollars.,Robert Moore,"Eileen Brennan,
Truman Capote,
James Coco",Dave Grusin,
06/24/1976,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson","In 1885, cynical Buffalo Bill hires Chief Sitting Bull to exploit him and add credibility to the distorted view of history presented in his Wild West Show.",Robert Altman,"Paul Newman,
Geraldine Chaplin,
Burt Lancaster",Richard Baskin,
06/25/1976,The Omen,"After his wife's miscarriage, U.S. diplomat Robert adopts newborn Damien, secretly the Antichrist. The child becomes evil as people die around him.",Richard Donner,"Gregory Peck,
Lee Remick,
David Warner",Jerry Goldsmith,
07/07/1976,Gus,The NFL's inept California Atoms welcome their newest member: a Yugoslavian's mule who can placekick a football 100 yards with high accuracy.,Vincent McEveety,"Don Knotts,
Edward Asner,
Gary Grimes",Robert F. Brunner,
07/14/1976,The Outlaw Josey Wales,"Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up fleeing from Captain Terrill's Union soldiers, who murdered his family.",Clint Eastwood,"Clint Eastwood,
Chief Dan George,
Sondra Locke",Jerry Fielding,
07/21/1976,The Shootist,An aging gunfighter with cancer goes to Nevada and rents a room from a widow and her son with a plan to die with little pain and adequate dignity.,Don Siegel,"John Wayne,
Lauren Bacall,
Ron Howard",Elmer Bernstein,
08/13/1976,Futureworld,"Upon learning the dirty secret of a futuristic theme park, an ex-employee is killed after he tips off two reporters who decide to investigate it themselves.",Richard T. Heffron,"Peter Fonda,
Blythe Danner,
Arthur Hill",Fred Karlin,Westworld 2
09/15/1976,Bugsy Malone,A poor boxing promoter steps in to help Fat Sam and his gang take down Dandy Dan. He falls for an aspiring singer and avoids getting splurged.,Alan Parker,"Jodie Foster,
Scott Baio,
John Cassisi",Paul Williams,
10/06/1976,Solaris,"A psychologist heads to a station orbiting a planet to learn what has caused the crew to go insane. A replica of his wife, dead for 10 years, meets him.",Andrei Tarkovsky,"Donatas Banionis,
Natalya Bondarchuk,
Jüri Järvet",Eduard Artemyev,
10/08/1976,Marathon Man,"A history student and avid runner is caught in the middle of a dangerous international plot involving Nazis, stolen diamonds, and government agents.",John Schlesinger,"Dustin Hoffman,
Laurence Olivier,
Roy Scheider",Michael Small,
10/24/1976,The Seven-Per-Cent Solution,"To treat Sherlock Holmes' cocaine addiction that he blames Moriarty for, John Watson lures him to Sigmund Freud in Vienna as a kidnapping begins.",Herbert Ross,"Nicol Williamson,
Robert Duvall,
Alan Arkin",John Addison,
11/03/1976,Assault on Precinct 13,"In L.A., a highway patrol lieutenant, two criminals, and a station secretary defend a defunct precinct office against a siege by the Street Thunder gang.",John Carpenter,"Austin Stoker,
Darwin Joston,
Laurie Zimmer",John Carpenter,
11/03/1976,Carrie,A friendless teenager sheltered by her religious mother unleashes telekinetic powers after being humiliated by her classmates at her senior prom.,Brian De Palma,"Sissy Spacek,
Piper Laurie,
Amy Irving",Pino Donaggio,
11/21/1976,Rocky,A struggling Philadelphia boxer gets a chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,"Sylvester Stallone,
Talia Shire,
Burt Young",Bill Conti,
11/27/1976,Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,"Faye Dunaway,
William Holden,
Peter Finch",Elliot Lawrence,
12/03/1976,Silver Streak,"On a long-distance train trip from L.A. to Chicago, a book editor finds romance but also finds himself in danger of being killed or ejected by criminals.",Arthur Hiller,"Gene Wilder,
Jill Clayburgh,
Richard Pryor",Henry Mancini,
12/15/1976,The Pink Panther Strikes Again,"Dreyfus, after Inspector Clouseau's antics drove him insane, escapes from a mental institution and launches an elaborate plan to get rid of him.",Blake Edwards,"Peter Sellers,
Herbert Lom,
Lesley-Anne Down",Henry Mancini,The Pink Panther 5
12/17/1976,A Star Is Born,"A rock star on decline has given in to drugs and alcohol. He dates a singer and lets her take the spotlight in his concerts, leading to her success.",Frank Pierson,"Barbra Streisand,
Kris Kristofferson,
Gary Busey",Roger Kellaway,
12/17/1976,Freaky Friday,"After a wish, on one strange Friday the 13th, a quarrelling mother and daughter find their bodies switched so have to live each other's tough lives.",Gary Nelson,"Jodie Foster,
Barbara Harris,
John Astin",Johnny Mandel,
12/17/1976,King Kong,A petroleum exploration expedition comes to the isolated Skull Island and encounters a colossal giant gorilla that is later taken to New York City.,John Guillermin,"Jeff Bridges,
Charles Grodin,
Jessica Lange",John Barry,
12/22/1976,The Enforcer,"Dirty Harry and new partner Kate, whose aptitude he doubts, must stop the People's Revolutionary Strike Force, who ambush and kidnap the mayor.",James Fargo,"Clint Eastwood,
Tyne Daly,
Harry Guardino",Jerry Fielding,Dirty Harry 3
02/09/1977,Fun with Dick and Jane,"When an upwardly mobile couple find themselves unemployed and in debt, they turn to armed robbery in desperation.",Ted Kotcheff,"George Segal,
Jane Fonda,
Ed McMahon",Ernest Gold,
02/15/1977,Black Samurai,"Robert Sand, agent of D.R.A.G.O.N., is playing tennis when his commanding officers ask him to save a Chinese girl, his girlfriend.",Al Adamson,"Jim Kelly,
Bill Roy,
Roberto Contreras",N/A,
02/25/1977,Slap Shot,"Minor league ice hockey team the Charlestown Chiefs, led by a player-coach, resort to violent play to gain popularity in a declining factory town.",George Roy Hill,"Paul Newman,
Strother Martin,
Michael Ontkean",Elmer Bernstein,
03/01/1977,Godzilla vs. the Cosmic Monster,"An Okinawan prophecy appears to foretell Earth's destruction at the hands of Godzilla, but the real Godzilla uncovers a mechanical alien weapon.",Jun Fukuda,"Masaaki Daimon,
Kazuya Aoyama,
Akihiko Hirata",Masaru Sato,Japan Godzilla 14
03/11/1977,The Many Adventures of Winnie the Pooh,"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.","John Lounsbery,
Wolfgang Reitherman","Sterling Holloway,
John Fiedler,
Junius Matthews","Richard M. Sherman,
Robert B. Sherman,
Buddy Baker",
04/20/1977,Annie Hall,"A neurotic New York comedian falls in love with a flighty, aspiring nightclub singer. He reviews the many ups and many downs of their relationship.",Woody Allen,"Woody Allen,
Diane Keaton,
Tony Roberts",N/A,
05/25/1977,Star Wars,"Luke joins a Jedi, a cocky pilot, a Wookiee, and two droids to stop the Empire's battle station and rescue a princess from the villainous Darth Vader.",George Lucas,"Mark Hamill,
Harrison Ford,
Carrie Fisher",John Williams,Star Wars 4
05/27/1977,Smokey and the Bandit,"In 1977, a truck driver agrees to pick up beer in Texas and drive it to Georgia in 28 hours because it is illegal to sell without a permit in certain areas.",Hal Needham,"Burt Reynolds,
Sally Field,
Jerry Reed","Bill Justis,
Jerry Reed",
06/15/1977,A Bridge Too Far,"In 1944, in Operation Market Garden, the Allies attempt to capture several strategically important bridges in the Netherlands to break German lines.",Richard Attenborough,"Dirk Bogarde,
James Caan,
Michael Caine",John Addison,
06/16/1977,Grand Theft Auto,"Rich Paula steals her father's Rolls-Royce and heads to Las Vegas with Sam to marry. Her angry parents, a suitor, and reward seekers follow them.",Ron Howard,"Ron Howard,
Nancy Morgan,
Marion Ross",Peter Ivers,
06/17/1977,Exorcist II: The Heretic,"In a New York psychiatric facility, teenage Regan learns Pazuzu still lurks within her. A priest looks into Merrin's death and studies a history in Africa.",John Boorman,"Linda Blair,
Richard Burton,
Louise Fletcher",Ennio Morricone,
06/17/1977,The Deep,"In Bermuda, two amateur treasure-hunting divers run into local criminals when they inadvertently find the secret cargo of a World War II shipwreck.",Peter Yates,"Robert Shaw,
Jacqueline Bisset,
Nick Nolte",John Barry,
06/21/1977,"New York, New York","In 1945, an egotistical saxophonist and a young lounge singer meet on V-J Day and start a rocky romance as their careers begin long uphill climbs.",Martin Scorsese,"Liza Minnelli,
Robert De Niro,
Lionel Stander","John Kander,
Fred Ebb",
06/22/1977,The Rescuers,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,"Wolfgang Reitherman,
John Lounsbery,
Art Stevens","Bob Newhart,
Eva Gabor,
Michelle Stacy",Artie Butler,
07/13/1977,The Spy Who Loved Me,"Bond unites with KGB agent Amasova, whose lover he killed, to defeat a shipping magnate who threatens New York City with nuclear weapons.",Lewis Gilbert,"Roger Moore,
Barbara Bach,
Curd Jürgens",Marvin Hamlisch,James Bond 10
07/15/1977,MacArthur,"During a farewell address to West Point, General MacArthur looks back on his military career, from the Battle of Bataan to his Korean War command.",Joseph Sargent,"Gregory Peck,
Ed Flanders,
Dan O'Herlihy",Jerry Goldsmith,
07/22/1977,The Hills Have Eyes,"In Nevada, the Carter family's car breaks down in a desert. They try to avoid a family led by Jupiter that lives by eating travelers and taking supplies.",Wes Craven,"Susan Lanier,
Robert Houston,
Martin Speer",Don Peake,
08/12/1977,Suspiria,An American newcomer to a prestigious German ballet academy comes to learn it is a front for a coven of witches amid a series of grisly murders.,Dario Argento,"Jessica Harper,
Stefania Casini,
Flavio Bucci","Goblin,
Dario Argento",
09/28/1977,Eraserhead,"Henry Spencer tries to survive his angry girlfriend, his desolate industrial surroundings, and the loud screams of his newly born grossly deformed child.",David Lynch,"Jack Nance,
Charlotte Stewart,
Allen Joseph",David Lynch,
10/02/1977,Julia,"At the request of her rich childhood friend, Jewish playwright Lillian starts a risky mission to smuggle money into Germany to help her anti-Nazi cause.",Fred Zinnemann,"Jane Fonda,
Vanessa Redgrave,
Jason Robards",Georges Delerue,
10/07/1977,"Oh, God!","When God appears to assistant grocery manager Jerry as a good natured old man, God selects him as his messenger for the world and a court of law.",Carl Reiner,"George Burns,
John Denver,
Teri Garr",Jack Elliott,
11/03/1977,Pete's Dragon,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,Don Chaffey,"Sean Marshall,
Helen Reddy,
Mickey Rooney",Irwin Kostal,
11/14/1977,The Turning Point,"When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.",Herbert Ross,"Anne Bancroft,
Shirley MacLaine,
Tom Skerritt",N/A,
11/16/1977,Close Encounters of the Third Kind,"Scientists learn aliens will land on Devils Tower and try to keep people away, but some such as an electric lineman have visions leading there.",Steven Spielberg,"Richard Dreyfuss,
Teri Garr,
Melinda Dillon",John Williams,
12/16/1977,Saturday Night Fever,"In Brooklyn, 19-year-old Italian Tony Manero tries to escape the reality of his unpromising family life by dominating the dance floor at the local disco.",John Badham,"John Travolta,
Karen Lynn Gorney,
Barry Miller","Barry Gibb,
Maurice Gibb,
Robin Gibb,
David Shire",
12/20/1977,Dersu Uzala,"The Russian army sends an explorer to map the snowy Siberian wilderness, where he makes friends with a seasoned nomadic Goldi hunter.",Akira Kurosawa,"Yury Solomin,
Maxim Munzuk,
Vladimir Kremena",Isaak Shvarts,
12/21/1977,The Gauntlet,"A mediocre cop is assigned to escort a prostitute into custody from Las Vegas to Phoenix, so that she can testify in a mob trial. Survival is doubtful.",Clint Eastwood,"Clint Eastwood,
Sondra Locke,
Pat Hingle",Jerry Fielding,
12/25/1977,High Anxiety,A psychiatrist with acrophobia works for a mental institution run by doctors crazier than patients and with secrets they are willing to murder to keep.,Mel Brooks,"Mel Brooks,
Madeline Kahn,
Cloris Leachman",John Morris,
02/15/1978,Coming Home,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,Hal Ashby,"Jane Fonda,
Jon Voight,
Bruce Dern",N/A,
04/21/1978,I Wanna Hold Your Hand,"In 1964, six New Jersey teenagers go to see the Beatles perform on The Ed Sullivan Show in the hope of meeting and taking photos of their idols.",Robert Zemeckis,"Nancy Allen,
Bobby Di Cicco,
Marc McClure",The Beatles,
04/26/1978,F.I.S.T.,"In Cleveland, spirited warehouse worker Johnny Kovak rises in a trucker union and is even elected its president. His Mafia links cause his downfall.",Norman Jewison,"Sylvester Stallone,
Rod Steiger,
Peter Boyle",Bill Conti,
05/10/1978,Martin,"In Braddock, a young man, who believes he is a vampire, stays with his hostile elderly cousin. He starts a full-on affair with a depressed housewife.",George A. Romero,"John Amplas,
Lincoln Maazel,
Christine Forrest",Donald Rubinstein,
06/02/1978,Capricorn One,A NASA rocket to Mars leaves unmanned. Three astronauts learn of a plan to fake the landing. A journalist investigates the plot after an accident.,Peter Hyams,"Elliott Gould,
James Brolin,
Brenda Vaccaro",Jerry Goldsmith,
06/02/1978,Corvette Summer,A high school grad and a teenaged prostitute wannabe from Las Vegas try to track down his stolen Corvette.,Matthew Robbins,"Mark Hamill,
Annie Potts,
Eugene Roche",Craig Safan,
06/09/1978,Damien: Omen II,A 12-year-old Antichrist learns from a disciple of Satan of his destiny. Those that suspect him meet their deaths. His uncle Richard works to stop him.,"Don Taylor,
Mike Hodges","William Holden,
Lee Grant,
Robert Foxworth",Jerry Goldsmith,
06/16/1978,Grease,"Good girl Sandy and greaser Danny fall in love over the summer. When they unexpectedly discover they're now in the same high school, they hope to rekindle their romance.",Randal Kleiser,"John Travolta,
Olivia Newton-John,
Stockard Channing",Michael Gibson,
06/16/1978,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,Jeannot Szwarc,"Roy Scheider,
Lorraine Gary,
Murray Hamilton",John Williams,
06/28/1978,Heaven Can Wait,"A Los Angeles Rams quarterback, taken from his body by an angel before he was meant to die, returns to life as a recently murdered millionaire.","Warren Beatty,
Buck Henry","Warren Beatty,
Julie Christie,
James Mason",Dave Grusin,
06/30/1978,The Cat from Outer Space,"Three scientists help alien cat Jake, stranded on Earth, to repair his damaged spacecraft to return home, but their efforts are hampered by officials.",Norman Tokar,"Ken Berry,
Sandy Duncan,
Harry Morgan",Lalo Schifrin,
07/14/1978,Foul Play,"In San Francisco, a shy divorced librarian and a bumbling police officer fall in love as they solve a crime involving albinos, dwarves, and Catholics.",Colin Higgins,"Goldie Hawn,
Chevy Chase,
Burgess Meredith",Charles Fox,
07/19/1978,Revenge of the Pink Panther,"After a major businessman tries to kill Inspector Clouseu, he is thought dead. He goes undercover with Cato to find out who tried to murder him.",Blake Edwards,"Peter Sellers,
Herbert Lom,
Robert Webber",Henry Mancini,The Pink Panther 6
07/28/1978,National Lampoon's Animal House,"In 1962, Faber freshmen Pinto and Flounder join the indecent Delta Tau Chi fraternity led by Otter and Bluto. Dean Wormer intends to remove them.",John Landis,"John Belushi,
Tim Matheson,
John Vernon",Elmer Bernstein,
08/02/1978,Interiors,"Eve and Arthur announce their sudden divorce to their three daughters, whose lives begin to spin out of control. Arthur then sees and marries Pearl.",Woody Allen,"Geraldine Page,
Diane Keaton,
Mary Beth Hurt",N/A,
09/13/1978,Days of Heaven,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Terrence Malick,"Richard Gere,
Brooke Adams,
Sam Shepard","Ennio Morricone,
Leo Kottke",
09/22/1978,Paradise Alley,"In 1940s New York, three Italian brothers try to help one's wrestling career using one's con artist tactics and another brothers' promotional skills.",Sylvester Stallone,"Sylvester Stallone,
Armand Assante,
Lee Canalito",Bill Conti,
09/29/1978,Death on the Nile,"In 1937 Egypt, as Poirot enjoys a luxurious cruise down the Nile, newlywed heiress Linnet is found shot by a pistol on board. He uncovers the villain.",John Guillermin,"Peter Ustinov,
Jane Birkin,
Lois Chiles",Nino Rota,
10/01/1978,The Satanic Rites of Dracula,"In 1974 London, police have vampire researcher Lorrimer Van Helsing help them stop a cult with a minister, a peer, a general, and a famed scientist.",Alan Gibson,"Christopher Lee,
Peter Cushing,
Michael Coles",John Cacavas,Hammer Dracula 8
10/06/1978,Goin' South,"In the 1960s, a virgin who wants gold mine labor saves a horse thief from a hanging by marrying him. They deal with his old gang and the Sheriff.",Jack Nicholson,"Jack Nicholson,
Mary Steenburgen,
Christopher Lloyd","Perry Botkin Jr.,
Van Dyke Parks",
10/24/1978,The Wiz,"Dorothy Gale, a shy kindergarten teacher is swept away to the magic land of Oz where she embarks on a quest to return home.",Sidney Lumet,"Diana Ross,
Michael Jackson,
Nipsey Russell",Charlie Smalls,
10/25/1978,Halloween,"15 years after murdering his sister, Michael Myers escapes from Smith's Grove Sanitarium, heads to Haddonfield, and follows babysitter Laurie Strode.",John Carpenter,"Donald Pleasence,
Jamie Lee Curtis,
P. J. Soles",John Carpenter,
