Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
10/22/1982,Halloween III: Season of the Witch,"Alcoholic doctor Daniel uncovers a plan by Silver Shamrock, a novelties company producing masks that kill using microchips when a commercial airs.",Tommy Lee Wallace,"Tom Atkins,
Stacey Nelkin,
Dan O'Herlihy","John Carpenter,
Alan Howarth",
11/12/1982,Creepshow,"Five tales are presented: a zombie wants cake, a farmer's meteor makes plants, lovers are buried, a crate hides a creature, and cockroaches horrify.",George A. Romero,"Hal Holbrook,
Adrienne Barbeau,
Fritz Weaver",John Harrison,
12/08/1982,48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",Walter Hill,"Nick Nolte,
Eddie Murphy,
Annette O'Toole",James Horner,
12/08/1982,Gandhi,A lawyer becomes the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"Ben Kingsley,
Rohini Hattangadi,
Roshan Seth","Ravi Shankar,
George Fenton",
12/08/1982,The Verdict,An alcoholic lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Sidney Lumet,"Paul Newman,
Charlotte Rampling,
Jack Warden",Johnny Mandel,
12/10/1982,Airplane II: The Sequel,"The computer ROK causes a passenger space shuttle to head straight for the Sun. Ted, who was committed to an insane asylum, must redirect it.",Ken Finkleman,"Robert Hays,
Julie Hagerty,
Lloyd Bridges","Elmer Bernstein,
Richard Hazard",
12/10/1982,Sophie's Choice,"In 1947 Brooklyn, writer Stingo befriends Sophie, a Polish immigrant who decided between her two children, and her unstable, jealous lover Nathan.",Alan J. Pakula,"Meryl Streep,
Kevin Kline,
Peter MacNicol",Marvin Hamlisch,
12/10/1982,The Toy,"In Baton Roue, unemployed reporter Jack is hired by ruthless businessman U.S. Bates as a live-in friend for his spoiled, but neglected, son on break.",Richard Donner,"Richard Pryor,
Jackie Gleason,
Teresa Ganzel",Patrick Williams,
12/15/1982,Honkytonk Man,Western singer Red suffers from tuberculosis but has an opportunity to make it big at the Grand Ole Opry. His young nephew Whit joins him for a trip.,Clint Eastwood,"Clint Eastwood,
Kyle Eastwood,
John McIntire",Steve Dorff,
12/17/1982,The Dark Crystal,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and so restore order to his world.","Jim Henson,
Frank Oz","Stephen Garlick,
Lisa Maxwell,
Billie Whitelaw",Trevor Jones,
12/17/1982,Tootsie,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital daytime soap opera.",Sydney Pollack,"Dustin Hoffman,
Jessica Lange,
Teri Garr",Dave Grusin,
12/17/1982,Trail of the Pink Panther,"After the Pink Panther diamond is stolen again, a journalist attempts to uncover the mysterious disappearance of Inspector Clouseau on a plane.",Blake Edwards,"Peter Sellers,
David Niven,
Herbert Lom",Henry Mancini,The Pink Panther 7
01/21/1983,The Year of Living Dangerously,A young Australian reporter tries to navigate the turmoil of Indonesia during the rule of President Sukarno with the help of a small photographer.,Peter Weir,"Mel Gibson,
Sigourney Weaver,
Bill Kerr",Maurice Jarre,
02/04/1983,The Entity,"Carla awakens to find herself being beaten and raped by an unseen presence. Afraid but doubted by friends, she seeks aid from parapsychologists. ",Sidney J. Furie,"Barbara Hershey,
Ron Silver,
David Labiosa",Charles Bernstein,
02/04/1983,Videodrome,A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.,David Cronenberg,"James Woods,
Sonja Smits,
Deborah Harry",Howard Shore,
02/05/1983,The Evil Dead,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",Sam Raimi,"Bruce Campbell,
Ellen Sandweiss,
Richard DeManincor",Joe Loduca,
02/18/1983,The King of Comedy,"Rupert Pupkin is a passionate but not successful comic who craves a chance in the spotlight, so he follows and kidnaps his talk show host idol Jerry.",Martin Scorsese,"Robert De Niro,
Jerry Lewis,
Sandra Bernhard",Robbie Robertson,
03/04/1983,Tender Mercies,"In Texas, a washed-up, alcoholic country singer meets a motel owner widow with a son, marries her, and reconnects with his teenage daughter.",Bruce Beresford,"Robert Duvall,
Tess Harper,
Betty Buckley",George Dreyfus,
03/25/1983,The Outsiders,"In 1960s Tulsa, after greaser Johnny kills a soc to defend Ponyboy, the two hide in an abandoned church. After a fire, two gangs clash in a rumble.",Francis Ford Coppola,"C. Thomas Howell,
Matt Dillon,
Ralph Macchio",Carmine Coppola,
03/31/1983,Monty Python's The Meaning of Life,"From the miracle of birth to death, a comic sketch troupe attempts to understand the significance of existence and perpetually unanswered questions.",Terry Jones,"Graham Chapman,
John Cleese,
Terry Gilliam",John Du Prez,
04/08/1983,Losin' It,"In 1965, four rowdy teenagers travel to Tijuana, Mexico to party when they are joined by an upset housewife who is in town seeking a quick divorce.",Curtis Hanson,"Tom Cruise,
Shelley Long,
Jackie Earle Haley",Kenneth Wannberg,
04/15/1983,Flashdance,"In Pittsburgh, 18-year-old steel mill worker Alex aspires to become a professional ballerina and works as a sensual dancer at night in a local bar.",Adrian Lyne,"Jennifer Beals,
Michael Nouri,
Lilia Skala",Giorgio Moroder,
04/15/1983,Lone Wolf McQuade,"After helping police with horse thieves, a Texas Ranger targets a drug lord with an arms trade. Both are martial artists who love Lola Richardson.",Steve Carver,"Chuck Norris,
David Carradine,
Barbara Carrera",Francesco De Masi,
04/29/1983,Something Wicked This Way Comes,"In a small American town, a diabolical circus arrives, granting wishes for the townsfolk, but twisted as only Mr. Dark can make them.",Jack Clayton,"Jason Robards,
Jonathan Pryce,
Diane Ladd",James Horner,
04/29/1983,The Hunger,"In New York, a love triangle develops between a beautiful yet dangerous vampire, her male cellist companion, and a doctor studying rapid aging.",Tony Scott,"Catherine Deneuve,
David Bowie,
Susan Sarandon","Howard Blake,
Denny Jaeger,
Michel Rubini",
04/29/1983,Valley Girl,"In California, popular Julie, who breaks up with her boyfriend, meets city punk Randy. They fall in love and try to stay together despite her friends.",Martha Coolidge,"Nicolas Cage,
Deborah Foreman,
Elizabeth Daily","Marc Levinthal,
Scott Wilk",
05/13/1983,Blue Thunder,"An L.A. police officer is chosen to run a high-tech experimental attack helicopter, but he learns it is intended for crowd control and surveillance.",John Badham,"Roy Scheider,
Warren Oates,
Candy Clark",Arthur B. Rubinstein,
05/25/1983,Return of the Jedi,"After rescuing Han from Jabba, the Rebels head to Endor to destroy the second Death Star. Luke tries to bring Darth Vader back to the light side.",Richard Marquand,"Mark Hamill,
Harrison Ford,
Carrie Fisher",John Williams,Star Wars 6
06/03/1983,Psycho II,"After 22 years of psychiatric care, Norman Bates attempts to return to a life of solitude, but his crimes, and his mother, continue to haunt him.",Richard Franklin,"Anthony Perkins,
Vera Miles,
Meg Tilly",Jerry Goldsmith,
06/03/1983,The Man with Two Brains,"A brain surgeon marries a femme fatale, causing his life to turn upside down. Things go awry when he falls in love with a mad scientist's talking brain.",Carl Reiner,"Steve Martin,
Kathleen Turner,
David Warner",Joel Goldsmith,
06/03/1983,WarGames,"A Seattle hacker finds a backdoor into a military central computer in which reality is confused with game playing, possibly precipitating World War III.",John Badham,"Matthew Broderick,
Dabney Coleman,
John Wood",Arthur B. Rubinstein,
06/08/1983,Trading Places,"In Philadelphia, brothers Randolph and Mortimer create a bet and switch the lives of wealthy broker Winthorpe and poor black street hustler Valentine.",John Landis,"Dan Aykroyd,
Eddie Murphy,
Ralph Bellamy",Elmer Bernstein,
06/10/1983,Octopussy,Bond investigates the death of an agent holding a fake Fabergé egg and jewel smuggling in India used to hide a nuclear attack on NATO forces.,John Glen,"Roger Moore,
Maud Adams,
Louis Jourdan",John Barry,James Bond 13
06/17/1983,Fanny and Alexander,"In 1907, two young Swedish children experience the tragedies of the theatrical Ekdahl family. After their father is dead, their mother marries a bishop.",Ingmar Bergman,"Pernilla Allwin,
Bertil Guve,
Jan Malmsjö",Daniel Bell,
06/17/1983,Superman III,"After Superman stops a computer programmer's plan, synthetic kryptonite laced with tar creates in him a dark personality and then splits him in two.",Richard Lester,"Christopher Reeve,
Richard Pryor,
Jackie Cooper",Ken Thorne,
06/24/1983,Porky's II: The Next Day,High schoolers seek revenge on a group of KKK religious fanatics and corrupt politicians who want to shut down their diverse Shakespeare festival.,Bob Clark,"Dan Monahan,
Wyatt Knight,
Mark Herrier",Carl Zittrer,
06/24/1983,Twilight Zone: The Movie,"Four segments feature a racist transformed to a Jew, retirees becoming young, a boy controlling people, and a plane passenger seeing gremlins.","John Landis,
Steven Spielberg,
Joe Dante,
George Miller","Dan Aykroyd,
Albert Brooks,
Scatman Crothers",Jerry Goldsmith,
07/15/1983,Staying Alive,"Five years since leaving Brooklyn, Tony now tries to succeed as a dancer on the Broadway stage. He lands a role in a production of Satan's Alley.",Sylvester Stallone,"John Travolta,
Cynthia Rhodes,
Finola Hughes",N/A,Saturday Night Fever 2
07/22/1983,Class,"Young Jonathan, in a private prep school, spends one crazy night out, but soon realizes the woman he slept with is the mother of his best friend Skip.",Lewis John Carlino,"Rob Lowe,
Jacqueline Bisset,
Andrew McCarthy",Elmer Bernstein,
07/22/1983,Jaws 3-D,"In Orlando, a giant 35-foot shark becomes trapped in a SeaWorld theme park.The sons of police chief Brody must rescue everyone.",Joe Alves,"Dennis Quaid,
Bess Armstrong,
Simon MacCorkindale",Alan Parker,
07/22/1983,Mr. Mom,"In Detroit, after Ford engineer Jack is laid off, he becomes a stay-at-home father for three children. His wife re-enters the workforce as an executive.",Stan Dragoti,"Michael Keaton,
Teri Garr,
Martin Mull",Lee Holdridge,
07/29/1983,National Lampoon's Vacation,"The Griswold family journeys from Chicago to the Walley World theme park in California in a station wagon but faces a cousin, a crash, and a corpse.",Harold Ramis,"Chevy Chase,
Beverly D'Angelo,
Imogene Coca",Ralph Burns,
08/05/1983,Risky Business,"In Chicago, teen Joel's parents leave on vacation. When his father's Porsche sinks, he turns his house into a brothel for a night to pay for repairs.",Paul Brickman,"Tom Cruise,
Rebecca De Mornay,
Joe Pantoliano",Tangerine Dream,
08/12/1983,Cujo,"A mechanic's friendly St. Bernard contracts rabies from a bat, develops rage, and murders humans. He stalks a housewife and her son stuck in a car.",Lewis Teague,"Dee Wallace,
Daniel Hugh-Kelly,
Danny Pintauro",Charles Bernstein,
08/12/1983,Curse of the Pink Panther,"After Clouseau's disappearance, his bosses at the Sûreté put a computer into service to elect a new shrewd detective, Sleigh, who is also inept.",Blake Edwards,"David Niven,
Robert Wagner,
Herbert Lom",Henry Mancini,The Pink Panther 8
08/26/1983,Strange Brew,Unemployed brothers Bob and Doug earn jobs at the Elsinore Brewery but learn that a brew master is adulterating its beer with a mind control drug.,"Rick Moranis,
Dave Thomas","Dave Thomas,
Rick Moranis,
Max von Sydow",Charles Fox,
09/30/1983,The Big Chill,Seven former college friends unite for a weekend reunion at a South Carolina vacation home after the funeral of a friend who committed suicide.,Lawrence Kasdan,"Tom Berenger,
Glenn Close,
Jeff Goldblum",N/A,
10/07/1983,Never Say Never Again,"When SPECTRE assassin Fatima Bush steals two nuclear missiles from the U.S. military, M reinstates an aging Bond, suspended from duty.",Irvin Kershner,"Sean Connery,
Klaus Maria Brandauer,
Max von Sydow",Michel Legrand,Non-Eon James Bond
10/08/1983,Rumble Fish,"In Tulsa, absentminded street thug Rusty tries to live up to his absent, legendary motorcyclist older brother's reputation, and longs for gang warfare.",Francis Ford Coppola,"Matt Dillon,
Mickey Rourke,
Diane Lane",Stewart Copeland,
10/21/1983,All the Right Moves,"High schooler Stef wants to leave his small steel mill town through a football scholarship, but his coach blackballs him after an act of vandalism.",Michael Chapman,"Tom Cruise,
Craig T. Nelson,
Lea Thompson",David Richard Campbell,
10/21/1983,The Dead Zone,"A car crash puts Johnny in a five-year coma. He wakes with the ability to see the futures of people he touches, including a corrupt senate candidate.",David Cronenberg,"Christopher Walken,
Brooke Adams,
Tom Skerritt",Michael Kamen,
10/21/1983,The Right Stuff,"In 1957, seven military pilots are selected as the astronauts for Project Mercury, America's human spaceflight program, to match and defeat Russia.",Philip Kaufman,"Sam Shepard,
Fred Ward,
Dennis Quaid",Bill Conti,
10/28/1983,Possession,A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity become more sinister.,Andrzej Żuławski,"Isabelle Adjani,
Sam Neill,
Margit Carstensen",Andrzej Korzyński,
11/18/1983,A Christmas Story,"In the 1940s, a young boy named Ralphie tries to convince his parents, his teacher, and Santa that a Red Ryder BB gun is the perfect Christmas gift.",Bob Clark,"Melinda Dillon,
Darren McGavin,
Peter Billingsley","Carl Zittrer,
Paul Zaza",
11/18/1983,Sleepaway Camp,"Angela, a shy, traumatized girl, is sent to summer camp with her cousin. Shortly after, anyone with sinister intentions gets their comeuppance.",Robert Hiltzik,"Felissa Rose,
Katherine Kamhi,
Paul DeAngelo",Edward Bilous,
11/18/1983,Yentl,"In 1904, a Jewish woman in Poland decides to dress and live like a man so she can receive an education in Talmudic Law after her father dies. ",Barbra Streisand,"Barbra Streisand,
Mandy Patinkin,
Amy Irving",Michel Legrand,
11/23/1983,Terms of Endearment,"A finicky woman looks for love while her daughter faces marital issues. Together, they help each other deal with their emotions, family, and cancer.",James L. Brooks,"Debra Winger,
Shirley MacLaine,
Jack Nicholson",Michael Gore,
12/06/1983,The Dresser,"During World War II, personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.",Peter Yates,"Albert Finney,
Tom Courtenay,
Edward Fox",James Horner,
12/09/1983,Christine,"Nerd Arnie buys a 1958 Plymouth Fury, a car with its own mind and a jealous personality. His nature starts to turn sour to reflect it, worrying his friends.",John Carpenter,"Keith Gordon,
John Stockwell,
Alexandra Paul","John Carpenter,
Alan Howarth",
12/09/1983,Scarface,"In 1980 Miami, Cuban immigrant Tony Montana takes over a drug cartel and succumbs to greed, becoming paranoid and killing anyone in his way.",Brian De Palma,"Al Pacino,
Steven Bauer,
Michelle Pfeiffer",Giorgio Moroder,
12/09/1983,Sudden Impact,"Dirty Harry, on suspension for angering superiors, is assigned to investigate Jennifer, a rape victim exacting revenge on her aggressors with her gun.",Clint Eastwood,"Clint Eastwood,
Sondra Locke,
Pat Hingle",Lalo Schifrin,Dirty Harry 4
12/14/1983,Silkwood,"In 1974, plutonium worker Karen becomes active in lobbying for safeguards, so plant officials blame her for contamination and give her mental torture.",Mike Nichols,"Meryl Streep,
Kurt Russell,
Cher",Georges Delerue,
12/16/1983,To Be or Not to Be,"At the onset of World War II, a Polish actor's family and the Polish Resistance help a theatre troupe escape Poland and the invading Nazis.",Alan Johnson,"Mel Brooks,
Anne Bancroft,
Tim Matheson",John Morris,
01/20/1984,The Loveless,"In the 1950s, a rich Southerner falls in love with a biker on his way to the Daytona racetracks. A motorcycle gang starts trouble in a small town.","Kathryn Bigelow,
Monty Montgomery","Willem Dafoe
Robert Gordon,
Marin Kanter",Robert Gordon,
01/27/1984,Broadway Danny Rose,"In his attempts to reconcile a lounge singer client with his mistress Tina, poor talent agent Danny is mistaken as her lover by her jealous ex-boyfriend.",Woody Allen,"Woody Allen,
Mia Farrow,
Nick Apollo Forte",N/A,
02/17/1984,Footloose,"Chicago teenager Ren moves to Bomont, where rock music and dancing have been banned by Ariel's reverend father. Ren's spirit inspires Ariel.",Herbert Ross,"Kevin Bacon,
Lori Singer,
Dianne Wiest","Tom Snow,
Jim Steinman,
Kenny Loggins,
Dean Pitchford",
03/02/1984,Against All Odds,"A released, aging American football star is hired by a mobster to find his girlfriend in Mexico. When he finds her, they fall in love, and twists appear.",Taylor Hackford,"Jeff Bridges,
Rachel Ward,
James Woods","Michel Colombier,
Larry Carlton",
03/02/1984,Repo Man,"In L.A., a punk recruited by a car repossession agency finds himself in pursuit of a Chevrolet Malibu with a large bounty and aliens in its trunk.",Alex Cox,"Harry Dean Stanton,
Emilio Estevez,
Tracey Walter","Steven Hufsteter,
Humberto Larriva",
03/02/1984,This Is Spinal Tap,"In 1982, a loud, struggling England metal band is chronicled by a film director on a fateful American concert tour for the new album ""Smell the Glove"".",Rob Reiner,"Christopher Guest,
Michael McKean,
Harry Shearer","Christopher Guest,
Michael McKean,
Harry Shearer,
Rob Reiner",
03/09/1984,Children of the Corn,"In Nebraska, Vicky and Burt are trapped in Gatlin, where a religious child cult led by Isaac believes every adult must be sacrificed to a sadistic deity.",Fritz Kiersch,"Peter Horton,
Linda Hamilton,
John Franklin",Jonathan Elias,
03/09/1984,Splash,"In New York, a fruit businessman is reunited with a mermaid who saved his life as a boy. He falls in love with her believing she is Madison, a human.",Ron Howard,"Tom Hanks,
Daryl Hannah,
Eugene Levy",Lee Holdridge,
03/16/1984,Tank,"After a sergeant stops a deputy pimp from hitting a girl, a corrupt sheriff imprisons his son. He uses his tank to save his son and head to Tennessee.",Marvin J. Chomsky,"James Garner,
Shirley Jones,
C. Thomas Howell",Lalo Schifrin,
03/23/1984,Police Academy,A new policy requires an academy to take in any police recruit who wishes to try out. Its instructors refuse to tolerate the new misfit recruits' pranks.,Hugh Wilson,"Steve Guttenberg,
Kim Cattrall,
Bubba Smith",Robert Folk,
03/30/1984,Romancing the Stone,"A romance novelist goes to Colombia to ransom her kidnapped sister, and soon finds herself in an adventure with a rogue hunting for treasure.",Robert Zemeckis,"Michael Douglas,
Kathleen Turner,
Danny DeVito",Alan Silvestri,
04/06/1984,Moscow on the Hudson,A Russian saxophonist visiting New York City with a circus troupe suddenly decides to defect from the USSR during an outing to a department store.,Paul Mazursky,"Robin Williams,
María Conchita Alonso,
Cleavant Derricks",David McHugh,
04/13/1984,Friday the 13th: The Final Chapter,"After being taken to the morgue, Jason Voorhees spontaneously revives and goes on a killing spree as he returns to his home Camp Crystal Lake.",Joseph Zito,"Kimberly Beck,
Peter Barton,
Corey Feldman",Harry Manfredini,Friday the 13th 4
04/13/1984,Swing Shift,"During World War II in California, a woman falls in love with a trumpeter when she takes a job at an aircraft plant after her husband goes off to fight.",Jonathan Demme,"Goldie Hawn,
Kurt Russell,
Christine Lahti","Peter Allen,
Bruce Langhorne,
Patrick Williams",
05/04/1984,Breakin',"In California, a young jazz dancer training under an instructor meets up with two break dancers. They become the sensation of the street crowds.",Joel Silberg,"Lucinda Dickey,
Shabba Doo,
Boogaloo Shrimp","Michael Boyd,
Gary Remal",
05/04/1984,Sixteen Candles,"In Chicago, Sam's 16th birthday is neglected by her family because her sister is getting married. She pines for a crush as she fends off geek Ted.",John Hughes,"Molly Ringwald,
Michael Schoeffling,
Anthony Michael Hall.",Ira Newborn,
05/11/1984,Firestarter,"As college students, Andy and Vicky get telepathy in an experiment. A decade later, their daughter Charlie is pyrokinetic and targeted by an agency.",Mark L. Lester,"David Keith,
Drew Barrymore,
Freddie Jones",Tangerine Dream,
05/11/1984,The Natural,"In 1939, a middle-aged unknown joins the New York Knights from obscurity to become a talented baseball player as he reconnects with a girlfriend.",Barry Levinson,"Robert Redford,
Robert Duvall,
Glenn Close",Randy Newman,
05/18/1984,Finders Keepers,"In 1973, on the run from the police and a female roller derby team, a scam artist steals a coffin with five million dollars inside and boards a train.",Richard Lester,"Michael O'Keefe,
Beverly D'Angelo,
Louis Gossett Jr.",Ken Thorne,
05/23/1984,Indiana Jones and the Temple of Doom,"In 1935, Indiana arrives in India and is asked to find a mystical stone. He and a singer encounter the Thuggee cult practicing slavery and sacrifices.",Steven Spielberg,"Harrison Ford,
Kate Capshaw,
Amrish Puri",John Williams,Indiana Jones 2
06/01/1984,Once Upon a Time in America,"In 1918, Max and Noodles start a group of Jewish gangsters in New York, but success ends in 1933. In 1968, Noodles returns and confronts his past.",Sergio Leone,"Robert De Niro,
James Woods,
Elizabeth McGovern",Ennio Morricone,
06/01/1984,Star Trek III: The Search for Spock,Admiral Kirk and his crew risk their careers stealing the decommissioned USS Enterprise to return to the Genesis planet for Spock's body.,Leonard Nimoy,"William Shatner,
DeForest Kelley,
James Doohan",James Horner,
06/01/1984,Streets of Fire,"In Richmond, mercenary Tom is hired by his sister Reva to save his ex-girlfriend Ellen, a lead singer kidnapped by the Bombers, bikers led by Raven.",Walter Hill,"Michael Paré,
Diane Lane,
Rick Moranis",Ry Cooder,
06/08/1984,Beat Street,"An aspiring DJ from the South Bronx and his friend, a promoter, try to get into show business by exposing people to hip hop music and culture.",Stan Lathan,"Rae Dawn Chong,
Guy Davis,
Jon Chardiet","Arthur Baker,
Harry Belafonte,
Webster Lewis",
06/08/1984,Ghostbusters,"In New York, fired professors Venkman, Spengler, and Stantz start a ghost removal service. Joined by Zeddemore, they take on shapeshifting Gozer.",Ivan Reitman,"Bill Murray,
Dan Aykroyd,
Sigourney Weaver",Elmer Bernstein,
06/08/1984,Gremlins,A boy breaks three rules concerning his new pet Mogwai so spawns a horde of naughty monsters that attack town Kingston Falls on Christmas Eve.,Joe Dante,"Zach Galligan,
Phoebe Cates,
Hoyt Axton",Jerry Goldsmith,
06/08/1984,Top Secret!,American singer Nick Rivers goes to Germany to perform in a music festival. He is caught up in a resistance against East Germany's reunification.,"Jim Abrahams,
David Zucker,
Jerry Zucker","Val Kilmer,
Lucy Gutteridge,
Christopher Villiers",Maurice Jarre,
06/22/1984,Rhinestone,"In New York, a country music star stuck in a long contract must turn an obnoxious cab driver into a nightclub singer as a bet. The two become close.",Bob Clark,"Sylvester Stallone,
Dolly Parton,
Richard Farnsworth","Dolly Parton,
Larry Weiss",
06/22/1984,The Karate Kid,"Daniel LaRusso is hassled by school bullies. His apartment building houses a wise resident martial arts master Mr. Miyagi, who agrees to train him.",John G. Avildsen,"Ralph Macchio,
Noriyuki ""Pat"" Morita,
Elisabeth Shue",Bill Conti,
06/29/1984,Bachelor Party,Rick's friends throw him a bachelor bash. Worried fiancée Debbie uses a disguise to crash the party. Her father asks her ex-boyfriend to end their love.,Neal Israel,"Tom Hanks,
Adrian Zmed,
William Tepper",Robert Folk,
06/29/1984,Cannonball Run II,"A sheik is berated by his father for not winning a race across the country, so makes a second one of his own with a million dollars as the prize. ",Hal Needham,"Burt Reynolds,
Dom DeLuise,
Dean Martin",Al Capps,
06/29/1984,Conan the Destroyer,Conan is hired by an evil queen to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic horn of Dagoth.,Richard Fleischer,"Arnold Schwarzenegger,
Grace Jones,
Wilt Chamberlain",Basil Poledouris,Conan the Barbarian 2
07/13/1984,Cloak & Dagger,"In San Antonio, 11-year-old Davey has Jack Flack as an imagined friend. He observes a murder and gets a video game cartridge with military secrets.",Richard Franklin,"Henry Thomas,
Dabney Coleman,
Michael Murphy",Brian May,
07/13/1984,The Last Starfighter,A video game expert finds himself transported to another planet after conquering a game that was just a test to join the best starfighters.,Nick Castle,"Lance Guest,
Dan O'Herlihy,
Robert Preston",Craig Safan,
07/13/1984,The Muppets Take Manhattan,Kermit and his friends go to New York City to get their musical on Broadway but find their producer is a con artist. All but Kermit leave for new jobs.,Frank Oz,"Jim Henson,
Frank Oz,
Dave Goelz",Ralph Burns,
07/20/1984,Best Defense,"A military weapons engineer struggles to do his job responsibly, while a hapless tank commander has to live with the consequences two years later.",Willard Huyck,"Dudley Moore,
Eddie Murphy,
Kate Capshaw",Patrick Williams,
07/20/1984,Revenge of the Nerds,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect by joining a national fraternity.",Jeff Kanew,"Robert Carradine,
Anthony Edwards,
Ted McGinley",Thomas Newman,
07/20/1984,The NeverEnding Story,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,Wolfgang Petersen,"Noah Hathaway,
Barret Oliver,
Tami Stronach","Klaus Doldinger,
Giorgio Moroder",
07/27/1984,Purple Rain,"A musician, tormented by abuse at home, must contend with a rival singer, a romance, and his own dissatisfied band, as his star begins to rise.",Albert Magnoli,"Prince,
Apollonia Kotero,
Morris Day","Prince,
Michel Colombier",
08/02/1984,The Bostonians,A Boston feminist spinster and a conservative Southern lawyer contend for the heart and mind of a beautiful and bright girl unsure of her future.,James Ivory,"Christopher Reeve,
Vanessa Redgrave,
Jessica Tandy",Richard Robbins,
08/10/1984,Red Dawn,"At the start of World War III, a group of teenagers unite to defend their small Colorado town, and the United States, from invading Soviet soldiers.",John Milius,"Patrick Swayze,
C. Thomas Howell,
Lea Thompson",Basil Poledouris,
08/10/1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,"An adventurer, brain surgeon, and rock musician with the Hong Kong Cavaliers must stop evil alien Red Lectroids who are planning to conquer Earth.",W. D. Richter,"Peter Weller,
Ellen Barkin,
John Lithgow",Michael Boddicker,
08/24/1984,Oxford Blues,Nick believes the only way to win Lady Victoria is to join Oxford University and its rowing team. He collects money to head to England and then Oriel.,Robert Boris,"Rob Lowe,
Ally Sheedy,
Amanda Pays",John Du Prez,
09/14/1984,A Soldier's Story,"In 1944 during World War II, Captain Davenport is sent to look into cruel Sergeant Waters' gun death soon after he tricked C.J., who later hung himself.",Norman Jewison,"Howard E. Rollins Jr.,
Adolph Caesar,
Denzel Washington",Herbie Hancock,
09/14/1984,The Brother from Another Planet,"A mute alien with the appearance of a black man is chased by outer space bounty hunters through the streets of Harlem, where he meets its citizens.",John Sayles,"Joe Morton,
Darryl Edwards,
Steve James","Mason Daring,
John Sayles,
Denzil Botus",
09/19/1984,Amadeus,"In 1823, composer Antonio Salieri, now confined to an insane asylum, recalls his rivalry with genius musician Mozart, whom he claims he murdered.",Miloš Forman,"F. Murray Abraham,
Tom Hulce,
Elizabeth Berridge",N/A,
09/21/1984,All of Me,"A dying millionaire plans for her soul to be moved into a younger, willing woman. The process goes wrong, so she finds herself in her lawyer's body.",Carl Reiner,"Steve Martin,
Lily Tomlin,
Richard Libertini",Patrick Williams,
10/05/1984,Places in the Heart,"In 1935 Texas, widow Edna, who has two young children, runs her cotton farm with the support of black handyman Moze and blind lodger Mr. Will.",Robert Benton,"Sally Field,
Lindsay Crouse,
Ed Harris",John Kander,
10/26/1984,The Terminator,"A soldier is sent from 2029 to 1984 to hold back a cyborg assassin programmed to execute Sarah Connor, whose unborn son is key for humanity.",James Cameron,"Arnold Schwarzenegger,
Michael Biehn,
Linda Hamilton",Brad Fiedel,
11/09/1984,A Nightmare on Elm Street,The spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,Wes Craven,"John Saxon,
Ronee Blakley,
Heather Langenkamp",Charles Bernstein,
11/09/1984,"Oh, God! You Devil",God and Satan battle over the soul of a struggling rock star who is willing to sell his soul to the devil but whom God has watched over since childhood.,Paul Bogart,"George Burns,
Ted Wass,
Ron Silver",David Shire,
11/09/1984,"Silent Night, Deadly Night","Young Billy sees his parents murdered by a Santa after being warned by his senile grandfather. 13 years later, he becomes a barbaric Santa himself.",Charles E. Sellier Jr.,"Robert Brian Wilson,
Lilyan Chauvin,
Gilmer McCormick",Perry Botkin,
11/21/1984,Falling in Love,"Although they live married lives, commercial artist Molly and architectural engineer Frank see each other often with a friendship that grows into more.",Ulu Grosbard,"Robert De Niro,
Meryl Streep,
Dianne Wiest",Dave Grusin,
11/21/1984,Supergirl,"After losing the Omegahedron, Kara, Superman's cousin, comes to Earth to retrieve it but instead finds herself battling power-hungry witch Selena.",Jeannot Szwarc,"Helen Slater,
Faye Dunaway,
Peter O'Toole",Jerry Goldsmith,
12/05/1984,Beverly Hills Cop,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,Martin Brest,"Eddie Murphy,
Judge Reinhold,
John Ashton",Harold Faltermeyer,
12/14/1984,Dune,"In 10,191, after the galactic emperor kills his duke father Leto, Paul leads Fremen desert warriors to fight to regain control of the desert world Arrakis.",David Lynch,"Kyle MacLachlan,
Virginia Madsen,
Francesca Annis","Toto,
Brian Eno",
