Name,Movies,Awards,Notes
Jack Nicholson,"Drive, He Said (1971), Goin' South (1978), The Two Jakes (1990)",,
James Cameron,"The Terminator (1984), Aliens (1986), The Abyss (1989), Terminator 2: Judgment Day (1991), True Lies (1994), Titanic (1997), Avatar (2009)","Titanic (1997), Avatar (2009)",
James Mangold,"Cop Land (1997), Girl, Interrupted (1999), Kate & Leopold (2001), Identity (2003), Walk the Line (2005), 3:10 to Yuma (2007), Knight and Day (2010), The Wolverine (2013), Logan (2017), Ford v Ferrari (2019)",,
James Wan,"Saw (2004), Dead Silence (2007), Death Sentence (2007), Insidious (2011), The Conjuring (2013), Insidious: Chapter 2 (2013), Furious 7 (2015), The Conjuring 2 (2016), Aquaman (2018), Malignant (2021)",,
Jane Campion,"The Piano (1993), The Portrait of a Lady (1996), In the Cut (2003), The Power of the Dog (2021)","The Piano (1993), The Power of the Dog (2021)",
Jason Reitman,"Thank You for Smoking (2006), Juno (2007), Up in the Air (2009), Young Adult (2011), Labor Day (2013), Tully (2018), The Front Runner (2018), Ghostbusters: Afterlife (2021)","Juno (2007), Up in the Air (2009)",
Jay Roach,"Austin Powers: International Man of Mystery (1997), Austin Powers: The Spy Who Shagged Me (1999), Meet the Parents (2000), Austin Powers in Goldmember (2002), Meet the Fockers (2004), Dinner for Schmucks (2010), The Campaign (2012), Trumbo (2015), Bombshell (2019)",,
Jean-Marc Vallée,"The Young Victoria (2009), Dallas Buyers Club (2013), Wild (2014), Demolition (2016)",,
Jeff Nichols,"Take Shelter (2011), Mud (2013), Midnight Special (2016), Loving (2016)",,
Jerry Lewis,"The Bellboy (1960), The Nutty Professor (1963), One More Time (1970)",,
Jim Henson,"The Great Muppet Caper (1981), The Dark Crystal (1982), Labyrinth (1986)",,
Jodie Foster,"Little Man Tate (1991), Home for the Holidays (1995), The Beaver (2011), Money Monster (2016)",,
Joe Carnahan,"Smokin' Aces (2007), The A-Team (2010), The Grey (2012), Boss Level (2021)",,
Joe Dante,"The Howling (1981), Twilight Zone: The Movie (1983), Gremlins (1984), Explorers (1985), Innerspace (1987), The 'Burbs (1989), Gremlins 2: The New Batch (1990), Small Soldiers (1998), Looney Tunes: Back in Action (2003)",,
Joe Johnston,"Honey, I Shrunk the Kids (1989), The Rocketeer (1991), The Pagemaster (1994), Jumanji (1995), October Sky (1999), Jurassic Park III (2001), Hidalgo (2004), The Wolfman (2010), Captain America: The First Avenger (2011), The Nutcracker and the Four Realms (2018)",,
Joe Russo,"You, Me and Dupree (2006), Captain America: The Winter Soldier (2014), Captain America: Civil War (2016), Avengers: Infinity War (2018), Avengers: Endgame (2019), Cherry (2021)",,
Joe Wright,"Pride & Prejudice (2005), Atonement (2007), The Soloist (2009), Hanna (2011), Anna Karenina (2012), Pan (2015), Darkest Hour (2017), The Woman in the Window (2021)",,
Joel Coen,"Blood Simple (1985), Raising Arizona (1987), Miller's Crossing (1990), Barton Fink (1991), The Hudsucker Proxy (1994), Fargo (1996), The Big Lebowski (1998), O Brother, Where Art Thou? (2000), The Man Who Wasn't There (2001), Intolerable Cruelty (2003), The Ladykillers (2004), No Country for Old Men (2007), Burn After Reading (2008), A Serious Man (2009), True Grit (2010), Inside Llewyn Davis (2013), Hail, Caesar! (2016), The Ballad of Buster Scruggs (2018), The Tragedy of Macbeth (2021)","Fargo (1996), No Country for Old Men (2007), True Grit (2010)",
