Name,Movies,Awards,Notes
Jonathan Demme,"Swing Shift (1984), Something Wild (1986), Married to the Mob (1988), The Silence of the Lambs (1991), Philadelphia (1993), Beloved (1998), The Truth About Charlie (2002), The Manchurian Candidate (2004), Rachel Getting Married (2008), Ricki and the Flash (2015)",The Silence of the Lambs (1991),
Jordan Peele,"Get Out (2017), Us (2019)",Get Out (2017),
Joseph Gordon-Levitt,Don Jon (2013),,
Judd Apatow,"The 40-Year-Old Virgin (2005), Knocked Up (2007), Funny People (2009), This Is 40 (2012), Trainwreck (2015), The King of Staten Island (2020)",,
Justin Lin,"Annapolis (2006), The Fast and the Furious: Tokyo Drift (2006), Fast & Furious (2009), Fast Five (2011), Fast & Furious 6 (2013), Star Trek Beyond (2016), F9 (2021)",,
Kasi Lemmons,"Eve's Bayou (1997), Talk to Me (2007), Harriet (2019)",,
Kathryn Bigelow,"The Loveless (1984), Near Dark (1987), Blue Steel (1990), Point Break (1991), Strange Days (1995), K-19: The Widowmaker (2002), The Weight of Water (2002), The Hurt Locker (2009), Zero Dark Thirty (2012), Detroit (2017)",The Hurt Locker (2009),
Kay Cannon,"Blockers (2018), Cinderella (2021)",,
Kenneth Branagh,"Henry V (1989), Dead Again (1991), Much Ado About Nothing (1993), Mary Shelley's Frankenstein (1994), Hamlet (1996), Sleuth (2007), Thor (2011), Jack Ryan: Shadow Recruit (2014), Cinderella (2015), Murder on the Orient Express (2017), Artemis Fowl (2020), Belfast (2021)","Henry V (1989), Belfast (2021)",
Kevin Costner,"Dances with Wolves (1990), The Postman (1997), Open Range (2003)",Dances with Wolves (1990),
Kevin Reynolds,"Fandango (1985), Robin Hood: Prince of Thieves (1991), Waterworld (1995), The Count of Monte Cristo (2002)",,
Kevin Smith,"Clerks (1994), Mallrats (1995), Chasing Amy (1997), Dogma (1999), Jay and Silent Bob Strike Back (2001), Jersey Girl (2004), Clerks II (2006), Zack and Miri Make a Porno (2008), Cop Out (2010), Red State (2011), Tusk (2014), Holidays (2016), Yoga Hosers (2016), Jay and Silent Bob Reboot (2019)",,
Lake Bell,In a World... (2013),,
Lana Wachowski,"Bound (1996), The Matrix (1999), The Matrix Reloaded (2003), The Matrix Revolutions (2003), Speed Racer (2008), Cloud Atlas (2012), Jupiter Ascending (2015), The Matrix Resurrections (2021)",,
Lawrence Kasdan,"Body Heat (1981), The Big Chill (1983), Silverado (1985), The Accidental Tourist (1988), I Love You to Death (1990), Grand Canyon (1991), Wyatt Earp (1994), Dreamcatcher (2003)",,
Leonard Nimoy,"Star Trek III: The Search for Spock (1984), Star Trek IV: The Voyage Home (1986), Three Men and a Baby (1987)",,
Lilly Wachowski,"Bound (1996), The Matrix (1999), The Matrix Reloaded (2003), The Matrix Revolutions (2003), Speed Racer (2008), Cloud Atlas (2012), Jupiter Ascending (2015)",,
Louis C.K.,Pootie Tang (2001),,
Luc Besson,"Léon: The Professional (1994), The Fifth Element (1997), The Messenger: The Story of Joan of Arc (1999), The Family (2013), Lucy (2014), Valerian and the City of a Thousand Planets (2017)",,
M. Night Shyamalan,"The Sixth Sense (1999), Unbreakable (2000), Signs (2002), The Village (2004), Lady in the Water (2006), The Happening (2008), The Last Airbender (2010), After Earth (2013), The Visit (2015), Split (2017), Glass (2019), Old (2021)",The Sixth Sense (1999),
Malcolm D. Lee,"The Best Man (1999), Undercover Brother (2002), Roll Bounce (2005), Welcome Home Roscoe Jenkins (2008), Soul Men (2008), Scary Movie 5 (2013), The Best Man Holiday (2013), Barbershop: The Next Cut (2016), Girls Trip (2017), Night School (2018), Space Jam: A New Legacy (2021)",,
Marc Forster,"Monster's Ball (2001), Finding Neverland (2004), Stranger than Fiction (2006), Quantum of Solace (2008), World War Z (2013), Christopher Robin (2018)",,
Mario Van Peebles,"New Jack City (1991), Panther (1995)",,
Martin Brest,"Beverly Hills Cop (1984), Midnight Run (1988), Scent of a Woman (1992), Meet Joe Black (1998), Gigli (2003)",Scent of a Woman (1992),
Martin Campbell,"No Escape (1994), GoldenEye (1995), The Mask of Zorro (1998), The Legend of Zorro (2005), Casino Royale (2006), Edge of Darkness (2010), Green Lantern (2011), The Foreigner (2017)",,
Martin Lawrence,A Thin Line Between Love and Hate (1996),,
Martin Scorsese,"Who's That Knocking at My Door (1968), Alice Doesn't Live Here Anymore (1974), Taxi Driver (1976), Raging Bull (1980), After Hours (1985), The Color of Money (1986), The Last Temptation of Christ (1988), New York Stories (1989), Goodfellas (1990), Cape Fear (1991), The Age of Innocence (1993), Casino (1995), Kundun (1997), Bringing Out the Dead (1999), Gangs of New York (2002), The Aviator (2004), The Departed (2006), Shutter Island (2010), Hugo (2011), The Wolf of Wall Street (2013), Silence (2016), The Irishman (2019)","Raging Bull (1980), The Last Temptation of Christ (1988), Goodfellas (1990), Gangs of New York (2002), The Aviator (2004), The Departed (2006), Hugo (2011), The Wolf of Wall Street (2013), The Irishman (2019)",
Matt Reeves,"Cloverfield (2008), Let Me In (2010), Dawn of the Planet of the Apes (2014), War for the Planet of the Apes (2017)",,
McG,"Charlie's Angels (2000), Charlie's Angels: Full Throttle (2003), We Are Marshall (2006), Terminator Salvation (2009), This Means War (2012), The Babysitter (2017), Rim of the World (2019), The Babysitter: Killer Queen (2020)",,
Mel Brooks,"The Producers (1968), The Twelve Chairs (1970), Blazing Saddles (1974), Young Frankenstein (1974), High Anxiety (1977), Silent Movie (1976), History of the World, Part I (1981), Spaceballs (1987), Life Stinks (1991), Robin Hood: Men in Tights (1993), Dracula: Dead and Loving It (1995)",,
Mel Gibson,"The Man Without a Face (1993), Braveheart (1995), The Passion of the Christ (2004), Apocalypto (2006), Hacksaw Ridge (2016)","Braveheart (1995), Hacksaw Ridge (2016)",
Mel Stuart,Willy Wonka & the Chocolate Factory (1971),,
Michael Apted,"Coal Miner's Daughter (1980), Gorillas in the Mist (1988), Class Action (1991), Nell (1994), The World Is Not Enough (1999), Enigma (2002), Enough (2002), The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)",,
Michael Mann,"Thief (1981), Manhunter (1986), The Last of the Mohicans (1992), Heat (1995), The Insider (1999), Ali (2001), Collateral (2004), Miami Vice (2006), Public Enemies (2009), Blackhat (2015)",The Insider (1999),
Mike Judge,"Beavis and Butt-Head Do America (1996), Office Space (1999), Idiocracy (2006)",,
Mike Nichols,"Who's Afraid of Virginia Woolf? (1966), The Graduate (1967), Catch-22 (1970), Silkwood (1983), Heartburn (1986), Working Girl (1988), Postcards from the Edge (1990), Regarding Henry (1991), Wolf (1994), The Birdcage (1996), Primary Colors (1998), What Planet Are You From? (2000), Closer (2004), Charlie Wilson's War (2007)","Who's Afraid of Virginia Woolf? (1966), The Graduate (1967), Silkwood (1983), Working Girl (1988)",
Miloš Forman,"One Flew Over the Cuckoo's Nest (1975), Hair (1979), Ragtime (1981), Amadeus (1984), The People vs. Larry Flynt (1996), Man on the Moon (1999)","One Flew Over the Cuckoo’s Nest (1975), Amadeus (1984), The People vs. Larry Flynt (1996)",
Morgan Neville,Won't You Be My Neighbor? (2018),,
Nancy Meyers,"The Parent Trap (1998), What Women Want (2000), Something's Gotta Give (2003), The Holiday (2006), It's Complicated (2009), The Intern (2015)",,
Neil Marshall,"The Descent (2006), Hellboy (2019)",,
Nicolas Cage,Sonny (2002),,
Noah Baumbach,"The Squid and the Whale (2005), Margot at the Wedding (2007), Frances Ha (2013), While We're Young (2015), The Meyerowitz Stories (New and Selected) (2017), Marriage Story (2019)",,
Nora Ephron,"This Is My Life (1992), Sleepless in Seattle (1993), Mixed Nuts (1994), Michael (1996), You've Got Mail (1998), Lucky Numbers (2000), Bewitched (2005), Julie & Julia (2009)",,
Norman Jewison,"The Cincinnati Kid (1965), In the Heat of the Night (1967), The Thomas Crown Affair (1968), Fiddler on the Roof (1971), Jesus Christ Superstar (1973), Rollerball (1975), F.I.S.T. (1978), ...And Justice for All. (1979), A Soldier's Story (1984), Moonstruck (1987), In Country (1989), Only You (1994), The Hurricane (1999)","In the Heat of the Night (1967), Fiddler on the Roof (1971), Moonstruck (1987)",
Oliver Stone,"The Hand (1981), Platoon (1986), Wall Street (1987), Born on the Fourth of July (1989), The Doors (1991), JFK (1991), Natural Born Killers (1994), Nixon (1995), U Turn (1997), Any Given Sunday (1999), Alexander (2004), World Trade Center (2006), W. (2008), Wall Street: Money Never Sleeps (2010), Savages (2012), Snowden (2016)","Platoon (1986), Born on the Fourth of July (1989), JFK (1991)",
Orson Welles,"Citizen Kane (1941), The Magnificent Ambersons (1942), Journey into Fear (1943), The Stranger (1946), Macbeth (1948), Touch of Evil (1958), Chimes at Midnight (1967), The Other Side of the Wind (2018)",Citizen Kane (1941),
Patty Jenkins,"Monster (2003), Wonder Woman (2017), Wonder Woman 1984 (2020)",,
Paul Feig,"Unaccompanied Minors (2006), Bridesmaids (2011), The Heat (2013), Spy (2015), Ghostbusters (2016), A Simple Favor (2018), Last Christmas (2019)",,
Paul Greengrass,"The Bourne Supremacy (2004), United 93 (2006), The Bourne Ultimatum (2007), Green Zone (2010), Captain Phillips (2013), Jason Bourne (2016), 22 July (2018), News of the World (2020)",United 93 (2006),
Paul Thomas Anderson,"Hard Eight (1997), Boogie Nights (1997), Magnolia (1999), Punch-Drunk Love (2002), There Will Be Blood (2007), The Master (2012), Inherent Vice (2014), Phantom Thread (2017), Licorice Pizza (2021)","There Will Be Blood (2007), Phantom Thread (2017), Licorice Pizza (2021)",
Paul Verhoeven,"RoboCop (1987), Total Recall (1990), Basic Instinct (1992), Showgirls (1995), Starship Troopers (1997), Hollow Man (2000)",,
Paul W. S. Anderson,"Mortal Kombat (1995), Event Horizon (1997), Soldier (1998), Resident Evil (2002), Alien vs. Predator (2004), Death Race (2008), Resident Evil: Afterlife (2010), The Three Musketeers (2011), Resident Evil: Retribution (2012), Pompeii (2014), Resident Evil: The Final Chapter (2017), Monster Hunter (2020)",,
Penny Marshall,"Jumpin' Jack Flash (1986), Big (1988), Awakenings (1990), A League of Their Own (1992), Renaissance Man (1994), The Preacher's Wife (1996), Riding in Cars with Boys (2001)",,
Pete Docter,"Monsters, Inc. (2001), Up (2009), Inside Out (2015), Soul (2020)",,
Peter Berg,"Very Bad Things (1998), The Rundown (2003), Friday Night Lights (2004), The Kingdom (2007), Hancock (2008), Battleship (2012), Lone Survivor (2013), Deepwater Horizon (2016), Patriots Day (2016), Mile 22 (2018), Spenser Confidential (2020)",,
Peter Bogdanovich,"The Last Picture Show (1971), What's Up, Doc? (1972), Paper Moon (1973), They All Laughed (1981), Mask (1985)",The Last Picture Show (1971),
Peter Jackson,"Bad Taste (1989), Dead Alive (1993), Heavenly Creatures (1994), Meet the Feebles (1995), The Frighteners (1996), The Lord of the Rings: The Fellowship of the Ring (2001), The Lord of the Rings: The Two Towers (2002), The Lord of the Rings: The Return of the King (2003), King Kong (2005), The Lovely Bones (2009), The Hobbit: An Unexpected Journey (2012), The Hobbit: The Desolation of Smaug (2013), The Hobbit: The Battle of the Five Armies (2014)","The Lord of the Rings: The Fellowship of the Ring (2001), The Lord of the Rings: The Return of the King (2003)",
Peter Weir,"The Year of Living Dangerously (1983), Witness (1985), The Mosquito Coast (1986), Dead Poets Society (1989), Fearless (1993), The Truman Show (1998), Master and Commander: The Far Side of the World (2003), The Way Back (2010)","Witness (1985), Dead Poets Society (1989), The Truman Show (1998), Master and Commander: The Far Side of the World (2003)",
Peyton Reed,"Bring It On (2000), Down with Love (2003), The Break-Up (2006), Yes Man (2008), Ant-Man (2015), Ant-Man and the Wasp (2018)",,
Quentin Tarantino,"Reservoir Dogs (1992), Pulp Fiction (1994), Four Rooms (1995), Jackie Brown (1997), Kill Bill: Volume 1 (2003), Kill Bill: Volume 2 (2004), Sin City (2005), Grindhouse (2007), Inglourious Basterds (2009), Django Unchained (2012), The Hateful Eight (2015), Once Upon a Time in Hollywood (2019)","Pulp Fiction (1994), Inglourious Basterds (2009), Once Upon a Time in Hollywood (2019)",
Rebecca Hall,Passing (2021),,
Richard Attenborough,"A Bridge Too Far (1977), Gandhi (1982), A Chorus Line (1985), Cry Freedom (1987), Chaplin (1992), Shadowlands (1993), In Love and War (1996)",Gandhi (1982),
Richard Donner,"Salt and Pepper (1968), The Omen (1976), Superman (1978), Inside Moves (1980), The Toy (1982), Ladyhawke (1985), The Goonies (1985), Lethal Weapon (1987), Scrooged (1988), Lethal Weapon 2 (1989), Radio Flyer (1992), Lethal Weapon 3 (1992), Maverick (1994), Assassins (1995), Conspiracy Theory (1997), Lethal Weapon 4 (1998), Timeline (2003), 16 Blocks (2006)",,
Richard Lester,"A Hard Day's Night (1964), Robin and Marian (1976), Superman II (1981), Superman III (1983), Finders Keepers (1984)",,
Richard Linklater,"Slacker (1991), Dazed and Confused (1993), Before Sunrise (1995), The Newton Boys (1998), School of Rock (2003), Before Sunset (2004), Bad News Bears (2005), A Scanner Darkly (2006), Fast Food Nation (2006), Me and Orson Welles (2009), Bernie (2012), Before Midnight (2013), Boyhood (2014), Everybody Wants Some!! (2016), Last Flag Flying (2017), Where'd You Go, Bernadette (2019)",Boyhood (2014),
Richard Marquand,"Return of the Jedi (1983), Jagged Edge (1985)",,
Richard Pryor,"Jo Jo Dancer, Your Life Is Calling (1986)",,
Rick Famuyiwa,"The Wood (1999), Brown Sugar (2002), Dope (2015)",,
Rick Moranis,Strange Brew (1983),,
Ridley Scott,"Alien (1979), Blade Runner (1982), Legend (1986), Someone to Watch Over Me (1987), Black Rain (1989), Thelma & Louise (1991), 1492: Conquest of Paradise (1992), White Squall (1996), G.I. Jane (1997), Gladiator (2000), Black Hawk Down (2001), Matchstick Men (2003), Kingdom of Heaven (2005), A Good Year (2006), American Gangster (2007), Body of Lies (2008), Robin Hood (2010), Prometheus (2012), The Counselor (2013), Exodus: Gods and Kings (2014), The Martian (2015), Alien: Covenant (2017), All the Money in the World (2017), The Last Duel (2021), House of Gucci (2021)","Thelma & Louise (1991), Gladiator (2000), Black Hawk Down (2001)",
Rob Cohen,"Dragon: The Bruce Lee Story (1993), Dragonheart (1996), Daylight (1996), The Skulls (2000), The Fast and the Furious (2001), XXX (2002), Stealth (2005), The Mummy: Tomb of the Dragon Emperor (2008), Alex Cross (2012), The Boy Next Door (2015), The Hurricane Heist (2018)",,
Rob Marshall,"Chicago (2002), Memoirs of a Geisha (2005), Nine (2009), Pirates of the Caribbean: On Stranger Tides (2011), Into the Woods (2014), Mary Poppins Returns (2018)",Chicago (2002),
Rob Minkoff,"The Lion King (1994), Stuart Little (1999), Stuart Little 2 (2002), The Haunted Mansion (2003), The Forbidden Kingdom (2008), Mr. Peabody & Sherman (2014)",,
Rob Reiner,"This Is Spinal Tap (1984), The Sure Thing (1985), Stand by Me (1986), The Princess Bride (1987), When Harry Met Sally... (1989), Misery (1990), A Few Good Men (1992), North (1994), The American President (1995), Ghosts of Mississippi (1996), The Story of Us (1999), Alex & Emma (2003), Rumor Has It (2005), The Bucket List (2007), Flipped (2010), And So It Goes (2014), LBJ (2017)",,
Rob Zombie,"House of 1000 Corpses (2003), The Devil's Rejects (2005), Grindhouse (2007), Halloween (2007), Halloween II (2009), The Lords of Salem (2013)",,
Robert Altman,"M*A*S*H (1970), The Long Goodbye (1973), Nashville (1975), Buffalo Bill and the Indians, or Sitting Bull's History Lesson (1976), Popeye (1980), The Player (1992), Short Cuts (1993), The Gingerbread Man (1998), Gosford Park (2001), A Prairie Home Companion (2006)","M*A*S*H (1970), Nashville (1975), The Player (1992), Short Cuts (1993), Gosford Park (2001)",
Robert De Niro,"A Bronx Tale (1993), The Good Shepherd (2006)",,
Robert Redford,"Ordinary People (1980), A River Runs Through It (1992), Quiz Show (1994), The Horse Whisperer (1998), The Legend of Bagger Vance (2000), Lions for Lambs (2007), The Company You Keep (2013)","Ordinary People (1980), Quiz Show (1994)",
Robert Rodriguez,"El Mariachi (1993), Desperado (1995), Four Rooms (1995), From Dusk till Dawn (1996), The Faculty (1998), Spy Kids (2001), Spy Kids 2: The Island of Lost Dreams (2002), Spy Kids 3-D: Game Over (2003), Once Upon a Time in Mexico (2003), Sin City (2005), The Adventures of Sharkboy and Lavagirl in 3-D (2005), Grindhouse (2007), Shorts (2009), Machete (2010), Spy Kids: All the Time in the World (2011), Machete Kills (2013), Sin City: A Dame to Kill For (2014), Alita: Battle Angel (2019), We Can Be Heroes (2020)",,
Robert Stromberg,Maleficent (2014),,
Robert Townsend,"Hollywood Shuffle (1987), Eddie Murphy Raw (1987), The Meteor Man (1993), B.A.P.S. (1997)",,
Robert Zemeckis,"I Wanna Hold Your Hand (1978), Used Cars (1980), Romancing the Stone (1984), Back to the Future (1985), Who Framed Roger Rabbit (1988), Back to the Future Part II (1989), Back to the Future Part III (1990), Death Becomes Her (1992), Forrest Gump (1994), Contact (1997), What Lies Beneath (2000), Cast Away (2000), The Polar Express (2004), Beowulf (2007), A Christmas Carol (2009), Flight (2012), The Walk (2015), Allied (2016), Welcome to Marwen (2018), The Witches (2020)",Forrest Gump (1994),
Roger Allers,"The Lion King (1994), Open Season (2006)",,
Roger Spottiswoode,"Terror Train (1980), The Best of Times (1986), Turner & Hooch (1989), Air America (1990), Tomorrow Never Dies (1997), The 6th Day (2000)",,
Roland Emmerich,"Universal Soldier (1992), Stargate (1994), Independence Day (1996), Godzilla (1998), The Patriot (2000), The Day After Tomorrow (2004), 10,000 BC (2008), 2012 (2009), Anonymous (2011), White House Down (2013), Independence Day: Resurgence (2016), Midway (2019)",,
Ron Howard,"Grand Theft Auto (1977), Night Shift (1982), Splash (1984), Cocoon (1985), Gung Ho (1986), Willow (1988), Parenthood (1989), Backdraft (1991), Far and Away (1992), The Paper (1994), Apollo 13 (1995), Ransom (1996), EDtv (1999), How the Grinch Stole Christmas (2000), A Beautiful Mind (2001), The Missing (2003), Cinderella Man (2005), The Da Vinci Code (2006), Frost/Nixon (2008), Angels & Demons (2009), The Dilemma (2011), Rush (2013), In the Heart of the Sea (2015), Inferno (2016), Solo: A Star Wars Story (2018), Hillbilly Elegy (2020)","A Beautiful Mind (2001), Frost/Nixon (2008)",
Ron Shelton,"Bull Durham (1988), White Men Can't Jump (1992), Cobb (1994), Tin Cup (1996), Play It to the Bone (1999), Hollywood Homicide (2003)",,
Ryan Coogler,"Fruitvale Station (2013), Creed (2015), Black Panther (2018)",,
RZA,The Man with the Iron Fists (2012),,
Sam Mendes,"American Beauty (1999), Road to Perdition (2002), Jarhead (2005), Revolutionary Road (2008), Skyfall (2012), Spectre (2015), 1917 (2019)","American Beauty (1999), 1917 (2019)",
Sam Raimi,"The Evil Dead (1983), Evil Dead II (1987), Darkman (1990), Army of Darkness (1993), The Quick and the Dead (1995), A Simple Plan (1998), For Love of the Game (1999), The Gift (2000), Spider-Man (2002), Spider-Man 2 (2004), Spider-Man 3 (2007), Drag Me to Hell (2009), Oz the Great and Powerful (2013)",,
Sean Penn,Into the Wild (2007),,
Seth Rogen,"This Is the End (2013), The Interview (2014)",,
Shawn Levy,"Big Fat Liar (2002), Just Married (2003), Cheaper by the Dozen (2003), The Pink Panther (2006), Night at the Museum (2006), Date Night (2010), Night at the Museum: Battle of the Smithsonian (2009), Real Steel (2011), The Internship (2013), This Is Where I Leave You (2014), Night at the Museum: Secret of the Tomb (2014), Free Guy (2021)",,
Sidney Lumet,"12 Angry Men (1957), The Hill (1965), The Anderson Tapes (1971), Serpico (1973), Murder on the Orient Express (1974), Dog Day Afternoon (1975), Network (1976), The Wiz (1978), The Verdict (1982), Running on Empty (1988), Family Business (1989), Find Me Guilty (2006), Before the Devil Knows You're Dead (2007)","12 Angry Men (1957), Dog Day Afternoon (1975), Network (1976), The Verdict (1982)",
Sidney Poitier,Stir Crazy (1980),,
Sofia Coppola,"The Virgin Suicides (2000), Lost in Translation (2003), Marie Antoinette (2006), The Bling Ring (2013), The Beguiled (2017), On the Rocks (2020)",Lost in Translation (2003),
Spike Lee,"She's Gotta Have It (1986), School Daze (1988), Do the Right Thing (1989), Mo' Better Blues (1990), Jungle Fever (1991), Malcolm X (1992), Clockers (1995), Girl 6 (1996), Get on the Bus (1996), 4 Little Girls (1997), Summer of Sam (1999), Bamboozled (2000), 25th Hour (2002), She Hate Me (2004), Inside Man (2006), Miracle at St. Anna (2008), Red Hook Summer (2012), Oldboy (2013), Da Sweet Blood of Jesus (2015), Chi-Raq (2015), Pass Over (2018), BlacKkKlansman (2018), Da 5 Bloods (2020)",BlacKkKlansman (2018),
Stanley Kubrick,"Fear and Desire (1953), The Killing (1956), Paths of Glory (1957), Spartacus (1960), Lolita (1962), Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964), 2001: A Space Odyssey (1968), A Clockwork Orange (1971), Barry Lyndon (1975), The Shining (1980), Full Metal Jacket (1987), Eyes Wide Shut (1999)","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964), 2001: A Space Odyssey (1968), A Clockwork Orange (1971), Barry Lyndon (1975)",
Stephen King,Maximum Overdrive (1986),,
Stephen Merchant,Fighting with My Family (2019),,
Stephen Sommers,"Rudyard Kipling's The Jungle Book (1994), Deep Rising (1998), The Mummy (1999), The Mummy Returns (2001), Van Helsing (2004), G.I. Joe: The Rise of Cobra (2009), Odd Thomas (2014)",,
Steve McQueen,"Hunger (2008), Shame (2011), 12 Years a Slave (2013), Widows (2018)",12 Years a Slave (2013),
Steven Soderbergh,"Sex, Lies, and Videotape (1989), Out of Sight (1998), Erin Brockovich (2000), Traffic (2000), Ocean's Eleven (2001), Full Frontal (2002), Solaris (2002), Ocean's Twelve (2004), Ocean's Thirteen (2007), The Informant! (2009), Contagion (2011), Haywire (2012), Magic Mike (2012), Logan Lucky (2017), Unsane (2018), High Flying Bird (2019), The Laundromat (2019), Let Them All Talk (2020), No Sudden Move (2021)","Erin Brockovich (2000), Traffic (2000)",
Steven Spielberg,"The Sugarland Express (1974), Jaws (1975), Close Encounters of the Third Kind (1977), 1941 (1979), Raiders of the Lost Ark (1981), E.T. the Extra-Terrestrial (1982), Twilight Zone: The Movie (1983), Indiana Jones and the Temple of Doom (1984), The Color Purple (1985), Empire of the Sun (1987), Indiana Jones and the Last Crusade (1989), Always (1989), Hook (1991), Jurassic Park (1993), Schindler's List (1993), The Lost World: Jurassic Park (1997), Amistad (1997), Saving Private Ryan (1998), A.I. Artificial Intelligence (2001), Minority Report (2002), Catch Me If You Can (2002), The Terminal (2004), War of the Worlds (2005), Munich (2005), Indiana Jones and the Kingdom of the Crystal Skull (2008), The Adventures of Tintin (2011), War Horse (2011), Lincoln (2012), Bridge of Spies (2015), The BFG (2016), The Post (2017), Ready Player One (2018), West Side Story (2021)","Close Encounters of the Third Kind (1977), Raiders of the Lost Ark (1981), E.T. the Extra-Terrestrial (1982), Schindler’s List (1993), Saving Private Ryan (1998), Munich (2005), Lincoln (2012), West Side Story (2021)",
Sydney Pollack,"They Shoot Horses, Don't They? (1969), Jeremiah Johnson (1972), The Way We Were (1973), Three Days of the Condor (1975), The Electric Horseman (1979), Tootsie (1982), Out of Africa (1985), Havana (1990), The Firm (1993), Sabrina (1995), Random Hearts (1999), The Interpreter (2005)","They Shoot Horses, Don't They? (1969), Tootsie (1982), Out of Africa (1985)",
Sylvester Stallone,"Paradise Alley (1978), Rocky II (1979), Rocky III (1982), Staying Alive (1983), Rocky IV (1985), Rocky Balboa (2006), Rambo (2008), The Expendables (2010)",,
Taika Waititi,"Eagle vs Shark (2007), What We Do in the Shadows (2015), Hunt for the Wilderpeople (2016), Thor: Ragnarok (2017), Jojo Rabbit (2019)",,
Tate Taylor,"The Help (2011), Get on Up (2014), The Girl on the Train (2016), Ma (2019), Ava (2020)",,
Taylor Hackford,"An Officer and a Gentleman (1982), Against All Odds (1984), Dolores Claiborne (1995), The Devil's Advocate (1997), Proof of Life (2000), Ray (2004), Parker (2013)",Ray (2004),
Terence Young,"Dr. No (1963), From Russia with Love (1964), Thunderball (1965), Wait Until Dark (1967)",,
Terry Gilliam,"Monty Python and the Holy Grail (1975), Time Bandits (1981), Brazil (1985), The Fisher King (1991), 12 Monkeys (1995), Fear and Loathing in Las Vegas (1998), The Brothers Grimm (2005), The Imaginarium of Doctor Parnassus (2009), The Zero Theorem (2014)",,
Tim Burton,"Pee-wee's Big Adventure (1985), Beetlejuice (1988), Batman (1989), Edward Scissorhands (1990), Batman Returns (1992), Ed Wood (1994), Mars Attacks! (1996), Sleepy Hollow (1999), Planet of the Apes (2001), Big Fish (2003), Charlie and the Chocolate Factory (2005), Corpse Bride (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), Alice in Wonderland (2010), Dark Shadows (2012), Frankenweenie (2012), Big Eyes (2014), Miss Peregrine's Home for Peculiar Children (2016), Dumbo (2019)",,
Tim Robbins,"Dead Man Walking (1995), Cradle Will Rock (1999)",Dead Man Walking (1995),
Tim Story,"Barbershop (2002), Taxi (2004), Fantastic Four (2005), Fantastic Four: Rise of the Silver Surfer (2007), Think Like a Man (2012), Ride Along (2014), Think Like a Man Too (2014), Ride Along 2 (2016), Shaft (2019), Tom & Jerry (2021)",,
Tod Williams,Paranormal Activity 2 (2010),,
Todd Phillips,"Road Trip (2000), Old School (2003), Starsky & Hutch (2004), School for Scoundrels (2006), The Hangover (2009), Due Date (2010), The Hangover Part II (2011), The Hangover Part III (2013), War Dogs (2016), Joker (2019)",Joker (2019),
Tom Hanks,"That Thing You Do! (1996), Larry Crowne (2011)",,
Tom Hooper,"The King's Speech (2010), Les Misérables (2012), The Danish Girl (2015), Cats (2019)",The King's Speech (2010),
Tony Gilroy,"Michael Clayton (2007), Duplicity (2009), The Bourne Legacy (2012)",Michael Clayton (2007),
Tony Scott,"The Hunger (1983), Top Gun (1986), Beverly Hills Cop II (1987), Revenge (1990), Days of Thunder (1990), The Last Boy Scout (1991), True Romance (1993), Crimson Tide (1995), The Fan (1996), Enemy of the State (1998), Spy Game (2001), Man on Fire (2004), Domino (2005), Déjà Vu (2006), The Taking of Pelham 123 (2009), Unstoppable (2010)",,
Travis Knight,"Kubo and the Two Strings (2016), Bumblebee (2018)",,
Tyler Perry,"Madea's Family Reunion (2006), Daddy's Little Girls (2007), Why Did I Get Married? (2007), Meet the Browns (2008), The Family That Preys (2008), Madea Goes to Jail (2009), I Can Do Bad All by Myself (2009), For Colored Girls (2010), Madea's Big Happy Family (2011), Good Deeds (2012), Madea's Witness Protection (2012), Temptation: Confessions of a Marriage Counselor (2013), A Madea Christmas (2013), The Single Moms Club (2014), Boo! A Madea Halloween (2016), Boo 2! A Madea Halloween (2017), Acrimony (2018), Nobody's Fool (2018), A Madea Family Funeral (2019)",,
Victor Fleming,"Captains Courageous (1937), The Wizard of Oz (1939), Gone with the Wind (1939)",Gone with the Wind (1939),
Warren Beatty,"Heaven Can Wait (1978), Reds (1981), Dick Tracy (1990), Bulworth (1998)","Heaven Can Wait (1978), Reds (1981)",
Wes Anderson,"Bottle Rocket (1996), Rushmore (1998), The Royal Tenenbaums (2001), The Life Aquatic with Steve Zissou (2004), The Darjeeling Limited (2007), Fantastic Mr. Fox (2009), Moonrise Kingdom (2012), The Grand Budapest Hotel (2014), Isle of Dogs (2018), The French Dispatch of the Liberty, Kansas Evening Sun (2021)",The Grand Budapest Hotel (2014),
Wes Craven,"The Last House on the Left (1972), The Hills Have Eyes (1977), Deadly Blessing (1981), Swamp Thing (1982), A Nightmare on Elm Street (1984), Deadly Friend (1986), The Serpent and the Rainbow (1988), Shocker (1989), The People Under the Stairs (1991), Wes Craven's New Nightmare (1994), Vampire in Brooklyn (1995), Scream (1996), Scream 2 (1997), Music of the Heart (1999), Scream 3 (2000), Cursed (2005), Red Eye (2005), My Soul to Take (2010), Scream 4 (2011)",,
