Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
10/07/2011,Real Steel,"In the near future, robot boxing is a top sport. A struggling ex-boxer feels he has found a champion in a discarded robot.",Shawn Levy,"Hugh Jackman,
Dakota Goyo,
Evangeline Lilly",Danny Elfman,
10/07/2011,The Ides of March,An idealistic junior campaign manager for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,George Clooney,"Ryan Gosling,
George Clooney,
Philip Seymour Hoffman",Alexandre Desplat,
10/14/2011,Fireflies in the Garden,"In 1989, Michael bickers with his professor father. In 2007, a car hits a telephone pole and kills Lisa on the day of her graduation, upsetting her family.",Dennis Lee,"Ryan Reynolds,
Willem Dafoe,
Emily Watson",Javier Navarrete,
10/14/2011,Footloose,"Boston teenager Ren moves to Bomont, where rock music and dancing have been banned by Ariel's reverend father. Ren's spirit inspires Ariel.",Craig Brewer,"Kenny Wormald,
Julianne Hough,
Miles Teller",Deborah Lurie,
10/14/2011,The Big Year,A lonely computer programmer and a CEO who is ready to retire team up to defeat the cocky record holder in one yearlong birdwatching competition.,David Frankel,"Steve Martin,
Jack Black,
Owen Wilson",Theodore Shapiro,
10/14/2011,The Thing,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between grad student Kate and scientist Dr. Halvorson.",Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead,
Joel Edgerton,
Adewale Akinnuoye-Agbaje",Marco Beltrami,
10/14/2011,Trespass,"In Louisiana, a diamond dealer businessman and his distant wife are taken hostage by extortionists, one of whom seems to have had a previous affair.",Joel Schumacher,"Nicolas Cage,
Nicole Kidman,
Cam Gigandet",David Buckley,
10/21/2011,Johnny English Reborn,"Called back to MI7 service from Tibet, Johnny is sent to look into a plot to kill the Chinese Premier. He works with an assistant, a skilled junior agent.",Oliver Parker,"Rowan Atkinson,
Gillian Anderson,
Dominic West",Ilan Eshkeri,Johnny English 2
10/21/2011,Margin Call,"In 2008 New York, after laid off risk management head Eric's protégé unlocks information that could prove to be a firm's end, vital decisions are made.",J. C. Chandor,"Kevin Spacey,
Paul Bettany,
Jeremy Irons",Nathan Larson,
10/21/2011,Martha Marcy May Marlene,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",Sean Durkin,"Elizabeth Olsen,
John Hawkes,
Sarah Paulson","Daniel Bensi,
Saunder Jurriaans",
10/21/2011,Paranormal Activity 3,"In 1988 California, cinematographer Dennis moves to the house of his girlfriend Julie with her daughters Katie and Kristi. The sisters befriend an invisible entity who resides in their home.","Henry Joost,
Ariel Schulman","Lauren Bittner,
Chris Smith,
Chloe Csengery",N/A,
10/21/2011,The Three Musketeers,D'Artagnan and three former soldiers unite to fight double agent Milady and a cardinal from claiming the French throne and engulfing Europe in a war.,Paul W. S. Anderson,"Logan Lerman,
Milla Jovovich,
Matthew Macfadyen",Paul Haslinger,
10/28/2011,Anonymous,"While Queen Elizabeth I reigns, Edward grows as a child prodigy who writes plays. He continues to write while Shakespeare takes credit for his work.",Roland Emmerich,"Rhys Ifans,
Vanessa Redgrave,
Joely Richardson","Thomas Wander,
Harald Kloser",
10/28/2011,In Time,"In a future where people stop aging at 25 and pay money to live longer, a factory worker is accused of murder and goes on the run with a hostage.",Andrew Niccol,"Justin Timberlake,
Amanda Seyfried,
Cillian Murphy",Craig Armstrong,
10/28/2011,Like Crazy,A British exchange student falls for an American student but is separated from him when she is banned from the U.S. after overstaying her visa.,Drake Doremus,"Anton Yelchin,
Felicity Jones,
Jennifer Lawrence",Dustin O'Halloran,
10/28/2011,Puss in Boots,"A skilled fugitive cat, his childhood friend egg and a seductive thief kitty search for fabled golden goose eggs to clear his name and restore honor.",Chris Miller,"Antonio Banderas,
Salma Hayek,
Zach Galifianakis",Henry Jackman,Shrek spin-off
10/28/2011,The Rum Diary,"In 1960, journalist Paul takes on a freelance job in Puerto Rico for a local newspaper and struggles to find balance between culture and expatriates.",Bruce Robinson,"Johnny Depp,
Aaron Eckhart,
Michael Rispoli",Christopher Young,
11/04/2011,A Very Harold & Kumar 3D Christmas,"Harold and Kumar, having parted ways, cause an accident by burning down Harold's father-in-law's Christmas tree so then seek another in New York.",Todd Strauss-Schulson,"John Cho,
Kal Penn,
Neil Patrick Harris",William Ross,Harold & Kumar 3
11/04/2011,Tower Heist,"When hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",Brett Ratner,"Ben Stiller,
Eddie Murphy,
Casey Affleck",Christophe Beck,
11/09/2011,J. Edgar,"Near the end of his career, FBI Director Hoover, the first person in the position, dictates the history of his actions from 1919 onward to a fellow agent.",Clint Eastwood,"Leonardo DiCaprio,
Naomi Watts,
Armie Hammer",Clint Eastwood,
11/11/2011,Immortals,"Stonemason Theseus is chosen by Zeus to lead the fight against evil King Hyperion, who is on a rampage across Greece to obtain the Epirus Bow.",Tarsem Singh,"Henry Cavill,
Stephen Dorff,
Luke Evans",Trevor Morris,
11/11/2011,Jack and Jill,"An ad executive prepares for the dreaded annual Thanksgiving visit of his needy twin sister, who refuses to leave his family and attracts Al Pacino.",Dennis Dugan,"Adam Sandler,
Katie Holmes,
Al Pacino","Rupert Gregson-Williams,
Waddy Wachtel",
11/16/2011,The Descendants,"In Hawaii, a land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.",Alexander Payne,"George Clooney,
Shailene Woodley,
Beau Bridges",N/A,
11/18/2011,Happy Feet Two,"Mumble's son Erik cannot dance like his penguin friends, but the Mighty Sven claims he can save Antarctica. An iceberg traps a penguin population.",George Miller,"Elijah Wood,
Robin Williams,
Hank Azaria",John Powell,
11/18/2011,The Twilight Saga: Breaking Dawn – Part 1,"After Bella marries Edward, she is pregnant with a baby conceived when she was human. Jacob's wolf packmates plan to eliminate the unborn child.",Bill Condon,"Kristen Stewart,
Robert Pattinson,
Taylor Lautner",Carter Burwell,Twilight 4
11/23/2011,Arthur Christmas,Santa's clumsy son Arthur travels with elf Bryony and Grandsanta to give a misplaced bicycle gift to a little girl in Cornwall before Christmas morning.,"Sarah Smith,
Barry Cook","James McAvoy,
Hugh Laurie,
Bill Nighy",Harry Gregson-Williams,
11/23/2011,Hugo,"In 1931 Paris, an orphan living in the walls of a train station and a toy store owner's goddaughter get wrapped up in the mystery of an automaton.",Martin Scorsese,"Asa Butterfield,
Chloë Grace Moretz,
Ben Kingsley",Howard Shore,
11/23/2011,My Week with Marilyn,An employee of Sir Laurence Olivier documents his tense interaction with Marilyn Monroe during production of The Prince and the Showgirl.,Simon Curtis,"Michelle Williams,
Kenneth Branagh,
Eddie Redmayne","Conrad Pope,
Alexandre Desplat",
11/23/2011,The Muppets,A Muppet fan with the help of two humans must reunite the Muppets to stop a greedy mogul from destroying their precious Muppet Theatre for oil.,James Bobin,"Jason Segel,
Amy Adams,
Chris Cooper",Christophe Beck,
11/25/2011,The Artist,"In 1920s Hollywood, an egomaniacal silent film star develops a relationship with a young dancer. As sound films rise, her fame grows as his fades.",Michel Hazanavicius,"Jean Dujardin,
Bérénice Bejo,
James Cromwell",Ludovic Bource,
12/02/2011,Shame,"In New York City, a sex addict bachelor's carefully cultivated private life falls apart after his troubled lounge singer sister arrives for an indefinite stay.",Steve McQueen,"Michael Fassbender,
Carey Mulligan,
James Badge Dale",Harry Escott,
12/09/2011,New Year's Eve,"The lives of a variety of people in New York City intertwine on the last day of the year, whether at Times Square, a party, a hospital, or an elevator.",Garry Marshall,"Halle Berry,
Jessica Biel,
Jon Bon Jovi",John Debney,
12/09/2011,The Sitter,A college student on suspension is coaxed into babysitting three difficult kids next door. He is fully unprepared for the wild night ahead of all of them.,David Gordon Green,"Jonah Hill,
Max Records,
Ari Graynor","Jeff McIlwain,
David Wingo",
12/09/2011,Tinker Tailor Soldier Spy,"In 1973, the espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6. He learns of a plot for CIA info.",Tomas Alfredson,"Gary Oldman,
Kathy Burke,
Benedict Cumberbatch",Alberto Iglesias,
12/09/2011,We Need to Talk About Kevin,"Kevin's mother struggles to love her strange child, despite the dangerous things he says and does as he grows up. He starts trouble with his bow.",Lynne Ramsay,"Tilda Swinton,
John C. Reilly,
Ezra Miller",Jonny Greenwood,
12/09/2011,Young Adult,"Soon after her divorce, ghost writer Mavis returns to her home in small-town Minnesota and looks to rekindle a romance with her married ex-boyfriend.",Jason Reitman,"Charlize Theron,
Patton Oswalt,
Patrick Wilson",Rolfe Kent,
12/16/2011,Alvin and the Chipmunks: Chipwrecked,"While parasailing on a kite near a cruise ship, the Chipmunks and Chipettes go overboard and are marooned in a tropical paradise where Zoe lives.",Mike Mitchell,"Jason Lee,
David Cross,
Jenny Slate",Mark Mothersbaugh,Alvin and the Chipmunks 3
12/16/2011,Mission: Impossible – Ghost Protocol,"The IMF is shut down when it is implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their names.",Brad Bird,"Tom Cruise,
Jeremy Renner,
Simon Pegg",Michael Giacchino,Mission: Impossible 4
12/16/2011,Sherlock Holmes: A Game of Shadows,"A detective is on the trail of mastermind Professor Moriarty, who carries out random crimes across Europe to make a profit instigating a world war.",Guy Ritchie,"Robert Downey Jr.,
Jude Law,
Noomi Rapace",Hans Zimmer,Sherlock Holmes 2
12/21/2011,The Adventures of Tintin,A young reporter and his dog buy a coveted ship model. They meet a drunk captain who joins them in a treasure hunt for his ancestor's sunken ship.,Steven Spielberg,"Jamie Bell,
Andy Serkis,
Daniel Craig",John Williams,
12/21/2011,The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by Lisbeth Salander, a young computer hacker.",David Fincher,"Daniel Craig,
Rooney Mara,
Christopher Plummer","Trent Reznor,
Atticus Ross",
12/23/2011,In the Land of Blood and Honey,"In 1992 during the Bosnian War, Danijel, a soldier fighting for the Serbs, spots Bosnian girlfriend Ajla in a rape camp he oversees. A tough affair starts.",Angelina Jolie,"Goran Kostić,
Zana Marjanović,
Rade Šerbedžija",Gabriel Yared,
12/23/2011,We Bought a Zoo,"In California, a widowed father purchases an old zoo with his children and takes on the challenge of renovating it for its new opening to the public.",Cameron Crowe,"Matt Damon,
Scarlett Johansson,
Thomas Haden Church",Jónsi,
12/25/2011,Extremely Loud & Incredibly Close,"9-year-old autistic inventor Oskar searches New York City for a lock for a key left by his father, who died during the attacks on September 11th, 2001.",Stephen Daldry,"Thomas Horn,
Tom Hanks,
Sandra Bullock",Alexandre Desplat,
12/25/2011,War Horse,Young Albert enlists to serve in World War I after his horse Joey is sold to the cavalry. His hopeful journey takes him from England to the front lines.,Steven Spielberg,"Jeremy Irvine,
Peter Mullan,
Emily Watson",John Williams,
12/30/2011,The Iron Lady,Margaret Thatcher talks to the imagined presence of her deceased husband as she remembers her life from her youth to being British prime minister.,Phyllida Lloyd,"Meryl Streep,
Jim Broadbent,
Olivia Colman",Thomas Newman,
01/06/2012,The Devil Inside,"In Italy, Isabella becomes involved in a series of unauthorized exorcisms during a mission to learn about her mother, who killed during an exorcism.",William Brent Bell,"Fernanda Andrade,
Simon Quarterman,
Evan Helmuth","Brett Detar,
Ben Romans",
01/13/2012,Joyful Noise,"In Georgia, Vi Rose is newly in charge of a choir her daughter Olivia is part of. Widow G. G. works to prepare it for a competition with her grandson.",Todd Graff,"Queen Latifah,
Dolly Parton,
Keke Palmer",Mervyn Warren,
01/20/2012,Haywire,"After a mission for MI6, a black ops soldier seeks payback after she is betrayed and fought with in Dublin. She escapes to the U.S. to learn the truth.",Steven Soderbergh,"Gina Carano,
Michael Fassbender,
Ewan McGregor",David Holmes,
01/20/2012,Red Tails,Black pilots in the Tuskegee training program face segregation while kept mostly on the ground during World War II but are soon called into duty.,Anthony Hemingway,"Terrence Howard,
Cuba Gooding Jr.,
Nate Parker",Terence Blanchard,
01/20/2012,Underworld: Awakening,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.","Måns Mårlind,
Björn Stein","Kate Beckinsale,
Stephen Rea,
Michael Ealy",Paul Haslinger,Underworld 4
01/27/2012,The Grey,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.",Joe Carnahan,"Liam Neeson,
Frank Grillo,
Dermot Mulroney",Marc Streitenfeld,
02/03/2012,Chronicle,Three high school friends gain superpowers after making an underground discovery. They find their lives spinning out of control and their bond tested.,Josh Trank,"Dane DeHaan,
Alex Russell,
Michael B. Jordan",N/A,
02/03/2012,The Woman in Black,"In 1889, a young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.",James Watkins,"Daniel Radcliffe,
Ciarán Hinds,
Janet McTeer",Marco Beltrami,
02/10/2012,Journey 2: The Mysterious Island,17-year-old Sean works with his stepfather Hank to visit a mythical island to locate his grandfather. They discover weirdly sized animals and Atlantis.,Brad Peyton,"Dwayne Johnson,
Josh Hutcherson,
Vanessa Hudgens",Andrew Lockington,
02/10/2012,Rampart,"In 1999 L.A., veteran police officer Dave Brown, a renegade cop, struggles to care for his family and is caught in controversy after he assaults a driver.",Oren Moverman,"Woody Harrelson,
Ned Beatty,
Ben Foster",Dickon Hinchliffe,
02/10/2012,Safe House,"A young CIA agent is tasked with looking after a fugitive in a safe house. When it is attacked, the agent finds himself on the run with his charge.",Daniel Espinosa,"Denzel Washington,
Ryan Reynolds,
Vera Farmiga",Ramin Djawadi,
02/10/2012,The Vow,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",Michael Sucsy,"Rachel McAdams,
Channing Tatum,
Sam Neill","Rachel Portman,
Michael Brook",
02/17/2012,Ghost Rider: Spirit of Vengeance,"Johnny meets a priest who asks him to retrieve the Devil's son, intended to be a vessel of great power. He decides to protect him from his father.",Neveldine/Taylor,"Nicolas Cage,
Ciarán Hinds,
Violante Placido",David Sardy,Ghost Rider 2
02/17/2012,This Means War,Two CIA operatives and best friends wage an epic battle on each other when they discover they are dating the same product testing executive.,McG,"Reese Witherspoon,
Chris Pine,
Tom Hardy",Christophe Beck,
02/24/2012,Act of Valor,An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent with intel on a Chechen terrorist and a drug smuggler.,"Mike McCoy,
Scott Waugh","Roselyn Sánchez,
Jason Cottle,
Alex Veadov",Nathan Furst,
02/24/2012,Good Deeds,"Businessman Wesley is moved out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building.",Tyler Perry,"Tyler Perry,
Thandiwe Newton,
Gabrielle Union",Aaron Zigman,
02/24/2012,Goon,"Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semipro hockey glory.",Michael Dowse,"Seann William Scott,
Liev Schreiber,
Alison Pill",Ramachandra Borcar,
02/24/2012,Wanderlust,"Newly unemployed, George and Linda move to a hippie commune named Elysium for a two-week trial. Its free love policy creates a rift in marriage.",David Wain,"Paul Rudd,
Jennifer Aniston,
Justin Theroux",Craig Wedren,
03/02/2012,Project X,"Three high school seniors throw a birthday party to gain popularity. As the night progresses, things spiral out of control as word of the party spreads.",Nima Nourizadeh,"Thomas Mann,
Oliver Cooper,
Jonathan Daniel Brown",N/A,
03/02/2012,The Lorax,A 12-year-old boy hopes to attract the girl of his dreams. He discovers the story of a grumpy yet charming creature who fights to protect his world.,Chris Renaud,"Danny DeVito,
Ed Helms,
Zac Efron",John Powell,
03/09/2012,John Carter,"In 1868, a Civil War veteran is transported to the planet Barsoom, full of tall aliens. He escapes from a prison and meets a princess needing help.",Andrew Stanton,"Taylor Kitsch,
Lynn Collins,
Samantha Morton",Michael Giacchino,
03/16/2012,21 Jump Street,A pair of underachieving cops in a secret unit are sent back to a high school to blend in and bring down a drug ring. They confront teenage anxiety.,"Phil Lord,
Christopher Miller","Jonah Hill,
Channing Tatum,
Brie Larson",Mark Mothersbaugh,
03/23/2012,The Hunger Games,In Panem Katniss takes her sister Prim's place in a televised competition where two teenagers from each of 12 districts battle until only one survives.,Gary Ross,"Jennifer Lawrence,
Josh Hutcherson,
Liam Hemsworth",James Newton Howard,
03/23/2012,The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,"Iko Uwais,
Joe Taslim,
Donny Alamsyah","Mike Shinoda,
Joseph Trapanese",
03/30/2012,Mirror Mirror,"Evil witch queen Clementianna steals control of a kingdom, so exiled princess Snow White enlists seven resourceful rebels to restore her birthright.",Tarsem Singh,"Julia Roberts,
Lily Collins,
Armie Hammer",Alan Menken,
03/30/2012,Wrath of the Titans,"Perseus braves the underworld to rescue his father Zeus captured by his son Ares and brother Hades, who unleash the Titans upon the world.",Jonathan Liebesman,"Sam Worthington,
Rosamund Pike,
Bill Nighy",Javier Navarrete,Clash of the Titans 2
04/06/2012,American Reunion,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion 13 years later.","Jon Hurwitz,
Hayden Schlossberg","Jason Biggs,
Alyson Hannigan,
Chris Klein",Lyle Workman,American Pie 4
04/13/2012,Lockout,"In 2079, wrongly convicted CIA operative Snow is offered freedom if he can rescue the President's daughter from a space prison taken by inmates.","Stephen Saint Leger,
James Mather","Guy Pearce,
Maggie Grace,
Vincent Regan",Alexandre Azaria,
04/13/2012,The Cabin in the Woods,Five American college friends retreat to a remote forest cabin where they fall victim to zombies as technicians manipulate them while underground.,Drew Goddard,"Kristen Connolly,
Chris Hemsworth,
Anna Hutchison",David Julyan,
04/20/2012,Think Like a Man,Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's book advice against them.,Tim Story,"Kevin Hart,
Michael Ealy,
Taraji P. Henson",Christopher Lennertz,
04/27/2012,Bernie,"In 1996 Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she becomes controlling, he snaps and murders her.",Richard Linklater,"Jack Black,
Shirley MacLaine,
Matthew McConaughey",Graham Reynolds,
04/27/2012,Safe,An ex-cage fighter whose life was destroyed by gangsters aids a young girl whose memory holds a priceless numerical code pursued by criminals.,Boaz Yakin,"Jason Statham,
Catherine Chan,
Sándor Técsy",Mark Mothersbaugh,
04/27/2012,The Five-Year Engagement,"In San Francisco, sous chef Tom proposes to his PhD graduate girlfriend Violet. Their marriage is delayed for five years as their jobs change them.",Nicholas Stoller,"Jason Segel,
Emily Blunt,
Rhys Ifans",Michael Andrews,
04/27/2012,The Pirates! Band of Misfits,"In 1837 London, a captain sets out to defeat rivals Black Bellamy and Cutlass Liz for a Pirate of the Year award. He learns his parrot is the last dodo.",Peter Lord,"Hugh Grant,
David Tennant,
Imelda Staunton",Theodore Shapiro,
05/04/2012,The Avengers,"When Loki steals the energy cube the Tesseract, Nick Fury recruits six superheroes to defend New York City from him and his alien army of Chitauri.",Joss Whedon,"Robert Downey Jr.,
Chris Evans,
Chris Hemsworth",Alan Silvestri,
05/04/2012,The Best Exotic Marigold Hotel,"Seven British retirees relocate to an Indian hotel. Although it looks less luxurious than advertised, it nevertheless starts to charm in unexpected ways.",John Madden,"Judi Dench,
Bill Nighy,
Penelope Wilton",Thomas Newman,
05/11/2012,Dark Shadows,"In 1972, imprisoned vampire Barnabas is set free and returns to his ancestral home and protects his dysfunctional descendants from an evil witch.",Tim Burton,"Johnny Depp,
Eva Green,
Bella Heathcote",Danny Elfman,
05/16/2012,The Dictator,Wadiya dictator Hafez Aladeen is summoned to New York to a UN assembly and is replaced by a lookalike. He befriends an activist that gives a job.,Larry Charles,"Sacha Baron Cohen,
Anna Faris,
Ben Kingsley",Erran Baron Cohen,
05/18/2012,Battleship,"In Hawaii, a Navy officer, his team, and a fleet of ships must battle an armada of alien ships and drones to learn and thwart their destructive goals.",Peter Berg,"Taylor Kitsch,
Alexander Skarsgård,
Rihanna",Steve Jablonsky,
05/18/2012,What to Expect When You're Expecting,"A fitness trainer, a photographer, a breast feeding boutique owner, a driver's son, and a food truck chef experience the stress of having new babies.",Kirk Jones,"Cameron Diaz,
Jennifer Lopez,
Elizabeth Banks",Mark Mothersbaugh,
05/25/2012,Men in Black 3,Agent J travels back in time to 1969 to stop Boris the Animal from assassinating his friend Agent K and changing history so Boglodites invade Earth.,Barry Sonnenfeld,"Will Smith,
Tommy Lee Jones,
Josh Brolin",Danny Elfman,
05/25/2012,Moonrise Kingdom,"In 1965 New England, a 12-year-old orphan and a daughter of two attorneys fall in love and flee their town to a beach. A team tries to locate them.",Wes Anderson,"Bruce Willis,
Edward Norton,
Bill Murray",Alexandre Desplat,
06/01/2012,Snow White and the Huntsman,"Snow White is imprisoned by her evil stepmother Queen Ravenna, a sorceress. When she escapes to the forest, Ravenna orders Eric to capture her.",Rupert Sanders,"Kristen Stewart,
Charlize Theron,
Chris Hemsworth",James Newton Howard,
06/08/2012,Madagascar 3: Europe's Most Wanted,"Former zoo animals join a struggling European circus to return to New York City, but a psychotic animal control officer pursues them for trophies.","Eric Darnell,
Conrad Vernon,
Tom McGrath","Ben Stiller,
Chris Rock,
David Schwimmer",Hans Zimmer,
06/08/2012,Prometheus,"In 2089, two archaeologists and their crew follow a star map to learn mankind's origin. They meet the godlike Engineer beings, who are murderous.",Ridley Scott,"Noomi Rapace,
Michael Fassbender,
Guy Pearce",Marc Streitenfeld,Alien 5
06/08/2012,Safety Not Guaranteed,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,Colin Trevorrow,"Aubrey Plaza,
Mark Duplass,
Jake Johnson",Ryan Miller,
06/15/2012,Rock of Ages,"In 1987, an aspiring singer and a barback meet at the Bourbon Room club. Its owners book a rock star, so the mayor's conservative wife protests.",Adam Shankman,"Julianne Hough,
Diego Boneta,
Russell Brand","Adam Anders,
Peer Åström",
06/15/2012,That's My Boy,"While in his teens, Donny fathered a son and raised him as a single parent until he turned 18. Donny resurfaces just before his son's wedding.",Sean Anders,"Adam Sandler,
Andy Samberg,
Leighton Meester",Rupert Gregson-Williams,
06/15/2012,Your Sister's Sister,"Iris invites her friend Jack to stay at a cabin after his brother's death. Jack sleeps with Iris' lesbian sister Hannah, but Iris is secretly in love with him.",Lynn Shelton,"Emily Blunt,
Rosemarie DeWitt,
Mark Duplass",Vince Smith,
06/22/2012,Abraham Lincoln: Vampire Hunter,"Abraham Lincoln discovers vampires are planning to take over the U.S., so he begins his mission to defeat them having learned from Henry Sturgess.",Timur Bekmambetov,"Benjamin Walker,
Dominic Cooper,
Anthony Mackie",Henry Jackman,
06/22/2012,Brave,"Princess Merida refuses betrothal, harming her kingdom. She relies on bravery to undo a curse that transforms her mother into a black bear.","Mark Andrews,
Brenda Chapman","Kelly Macdonald,
Emma Thompson,
Billy Connolly",Patrick Doyle,
06/22/2012,Seeking a Friend for the End of the World,"As an asteroid nears Earth, Dodge finds himself alone after his wife leaves. He goes on a trip with his neighbor Penny to reunite with his sweetheart.",Lorene Scafaria,"Steve Carell,
Keira Knightley,
Adam Brody","Jonathan Sadoff,
Rob Simonsen",
06/29/2012,Madea's Witness Protection,The blame for a mob Ponzi scheme is pinned on investment banker George. He is relocated as a witness with his family to Madea's Georgia house.,Tyler Perry,"Tyler Perry,
Eugene Levy,
Denise Richards",Aaron Zigman,Madea 6
06/29/2012,Magic Mike,"An experienced stripper takes a young performer called The Kid under his wing and schools him in partying, picking up women, and making money.",Steven Soderbergh,"Channing Tatum,
Alex Pettyfer,
Matthew McConaughey",N/A,
06/29/2012,Ted,"A man whose childhood wish of bringing his teddy bear to life came true, now must decide between a relationship with the bear or his girlfriend.",Seth MacFarlane,"Mark Wahlberg,
Seth MacFarlane,
Mila Kunis",Walter Murphy,
07/03/2012,The Amazing Spider-Man,"After Peter is bitten by an altered spider, he gains spider-like powers and collides with the Lizard as he develops a relationship with his crush Gwen.",Marc Webb,"Andrew Garfield,
Emma Stone,
Rhys Ifans",James Horner,
07/06/2012,Savages,"Pot growers Chon and Ben face off against the Mexican drug cartel who kidnapped their shared girlfriend Ophelia, who is brought to leader Elena.",Oliver Stone,"Taylor Kitsch,
Blake Lively,
Aaron Taylor-Johnson",Adam Peters,
07/13/2012,Ice Age: Continental Drift,"Trapped on a moving iceberg, Manny, Diego, and Sid encounter sea creatures and battle pirates led by a Gigantopithecus as they search for the Herd.","Steve Martino,
Michael Thurmeier","Ray Romano,
John Leguizamo,
Denis Leary",John Powell,Ice Age 4
07/13/2012,Red Lights,"A professor and her assistant study paranormal activity. They investigate a world-renowned blind psychic, who has resurfaced, to expose his fraud.",Rodrigo Cortés,"Cillian Murphy,
Sigourney Weaver,
Robert De Niro",Victor Reyes,
07/20/2012,The Dark Knight Rises,"Having taken the blame for Dent's death, Batman is forced out of an eight-year exile by a cunning cat burglar and a merciless terrorist named Bane.",Christopher Nolan,"Christian Bale,
Michael Caine,
Gary Oldman",Hans Zimmer,Nolan Batman 3
07/27/2012,Killer Joe,"In Texas, when a debt puts a young drug dealer's life in danger, he turns to hiring a contract killer to murder his mother to collect on her life insurance.",William Friedkin,"Matthew McConaughey,
Emile Hirsch,
Juno Temple",Tyler Bates,
07/27/2012,Step Up Revolution,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew that performs flash mobs.",Scott Speer,"Ryan Guzman,
Kathryn McCormick,
Misha Gabriel",Aaron Zigman,Step Up 4
07/27/2012,The Watch,"In Glenview, four men form a neighborhood group to get out of their day-to-day family routines, but they then defend the Earth from an alien invasion.",Akiva Schaffer,"Ben Stiller,
Vince Vaughn,
Jonah Hill",Christophe Beck,
08/03/2012,Diary of a Wimpy Kid: Dog Days,"When Greg's father wants to send him to military school if he gets into trouble, he pretends he has a job at a country club where crush Holly teaches.",David Bowers,"Zachary Gordon,
Steve Zahn,
Robert Capron",Edward Shearmur,Diary of a Wimpy Kid 3
08/03/2012,Total Recall,"A factory worker suspects he is a spy after visiting Rekall, a company that provides implanted fake memories, and finds himself on the run.",Len Wiseman,"Colin Farrell,
Kate Beckinsale,
Jessica Biel",Harry Gregson-Williams,
08/08/2012,Hope Springs,"After 30 years of marriage, a middle-aged couple attends an intense, week-long counseling session in Maine to reignite the spark in their relationship.",David Frankel,"Meryl Streep,
Tommy Lee Jones,
Steve Carell",Theodore Shapiro,
08/10/2012,Red Hook Summer,A pampered 13-year-old boy from Atlanta finds his views changed as he spends the summer with his religious grandfather in the Brooklyn projects.,Spike Lee,"Jules Brown,
Clarke Peters,
Nate Parker",Bruce Hornsby,
08/10/2012,The Bourne Legacy,Operation Outcome black ops agent Aaron Cross must evade a colonel who targets operatives like him who use pills that enhance their capabilities.,Tony Gilroy,"Jeremy Renner,
Rachel Weisz,
Edward Norton",James Newton Howard,Jason Bourne 4
08/10/2012,The Campaign,"In North Carolina, incumbent representative Cam is embroiled in scandal when he is challenged by tourism director Marty, who is funded by brothers.",Jay Roach,"Will Ferrell,
Zach Galifianakis,
Jason Sudeikis",Theodore Shapiro,
08/15/2012,The Odd Life of Timothy Green,A couple bury a box in their backyard with all their desires for a child. A 10-year-old boy with leaves growing on his legs arrives and becomes a son.,Peter Hedges,"CJ Adams,
Jennifer Garner,
Joel Edgerton",Geoff Zanelli,
08/17/2012,ParaNorman,"A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.","Sam Fell,
Chris Butler","Kodi Smit-McPhee,
Tucker Albrizzi,
Anna Kendrick",Jon Brion,
08/17/2012,Sparkle,"In 1960s Detroit, three black sisters with a strict mother form a girl group and soon become local sensations with label interest. Fame hurts them.",Salim Akil,"Jordin Sparks,
Whitney Houston,
Derek Luke",Salaam Remi,
08/17/2012,The Expendables 2,"The CIA's Mr. Church reunites a team to take on mercenary Jean Vilain, who murders their young sniper Billy and plans to profit selling plutonium.",Simon West,"Sylvester Stallone,
Jason Statham,
Jet Li",Brian Tyler,
